QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
2,9:59.0,M. Kidd-Gilchrist misses 2-pt hook shot from 4 ft,,34,24
2,9:57.0,,Defensive rebound by N. Vonleh,34,24
2,9:44.0,,K. Knox makes 2-pt jump shot from 13 ft (assist by N. Vonleh),34,26
2,9:25.0,M. Bridges misses 2-pt layup from 3 ft,,34,26
2,9:24.0,Offensive rebound by Team,,34,26
2,9:21.0,T. Parker misses 2-pt jump shot from 18 ft,,34,26
2,9:19.0,,Defensive rebound by N. Vonleh,34,26
2,9:09.0,,D. Dotson makes 2-pt jump shot from 19 ft (assist by N. Vonleh),34,28
2,8:49.0,M. Monk misses 2-pt jump shot from 10 ft,,34,28
2,8:47.0,,Defensive rebound by K. Knox,34,28
2,8:43.0,,K. Knox makes 2-pt layup from 3 ft,34,30
2,8:31.0,Shooting foul by F. Ntilikina (drawn by T. Parker),,34,30
2,8:31.0,T. Parker misses free throw 1 of 2,,34,30
2,8:31.0,Offensive rebound by Team,,34,30
2,8:31.0,M. Williams enters the game for F. Kaminsky,,34,30
2,8:31.0,C. Zeller enters the game for M. Kidd-Gilchrist,,34,30
2,8:31.0,T. Parker makes free throw 2 of 2,,35,30
2,8:24.0,,Personal foul by M. Williams (drawn by N. Vonleh),35,30
2,8:24.0,K. Walker enters the game for T. Parker,,35,30
2,8:17.0,,K. Knox misses 3-pt jump shot from 25 ft,35,30
2,8:15.0,Defensive rebound by K. Walker,,35,30
2,8:07.0,K. Walker makes 2-pt layup from 1 ft,,37,30
2,7:54.0,,F. Ntilikina misses 2-pt jump shot from 12 ft,37,30
2,7:52.0,Defensive rebound by C. Zeller,,37,30
2,7:49.0,Shooting foul by C. Lee (drawn by M. Bridges),,37,30
2,7:49.0,,T. Hardaway enters the game for C. Lee,37,30
2,7:49.0,,E. Mudiay enters the game for F. Ntilikina,37,30
2,7:49.0,M. Bridges makes free throw 1 of 2,,38,30
2,7:49.0,M. Bridges makes free throw 2 of 2,,39,30
2,7:27.0,,E. Mudiay misses 3-pt jump shot from 26 ft,39,30
2,7:25.0,Defensive rebound by C. Zeller,,39,30
2,7:16.0,M. Bridges makes 2-pt dunk at rim (assist by K. Walker),,41,30
2,7:07.0,,K. Knox makes 2-pt layup from 1 ft (assist by T. Hardaway),41,32
2,6:54.0,M. Monk makes 3-pt jump shot from 25 ft (assist by M. Williams),,44,32
2,6:36.0,,D. Dotson makes 2-pt jump shot from 17 ft (assist by N. Vonleh),44,34
2,6:22.0,K. Walker misses 2-pt jump shot from 12 ft,,44,34
2,6:20.0,,Defensive rebound by E. Mudiay,44,34
2,6:12.0,,E. Mudiay misses 2-pt layup from 1 ft,44,34
2,6:11.0,Defensive rebound by C. Zeller,,44,34
2,6:08.0,Turnover by K. Walker (bad pass),,44,34
2,5:49.0,,Turnover by D. Dotson (lost ball; steal by K. Walker),44,34
2,5:43.0,M. Bridges misses 2-pt jump shot from 21 ft,,44,34
2,5:41.0,Offensive rebound by C. Zeller,,44,34
2,5:38.0,Shooting foul by K. Knox (drawn by K. Walker),,44,34
2,5:38.0,K. Walker makes free throw 1 of 2,,45,34
2,5:38.0,J. Lamb enters the game for M. Monk,,45,34
2,5:38.0,,E. Freedom enters the game for K. Knox,45,34
2,5:38.0,K. Walker makes free throw 2 of 2,,46,34
2,5:28.0,,Turnover by T. Hardaway (lost ball; steal by K. Walker),46,34
2,5:16.0,K. Walker misses 3-pt jump shot from 25 ft,,46,34
2,5:14.0,Offensive rebound by M. Bridges,,46,34
2,5:00.0,K. Walker makes 3-pt jump shot from 26 ft,,49,34
2,4:53.0,,New York full timeout,49,34
2,4:53.0,T. Parker enters the game for M. Bridges,,49,34
2,4:40.0,,Turnover by D. Dotson (bad pass; steal by C. Zeller),49,34
2,4:35.0,J. Lamb makes 3-pt jump shot from 23 ft (assist by K. Walker),,52,34
2,4:21.0,,E. Mudiay makes 2-pt jump shot from 11 ft (assist by T. Hardaway),52,36
2,4:00.0,K. Walker misses 2-pt jump shot from 16 ft,,52,36
2,3:58.0,,Defensive rebound by N. Vonleh,52,36
2,3:49.0,,Personal foul by C. Zeller (drawn by E. Freedom),52,36
2,3:41.0,,T. Hardaway makes 2-pt layup from 1 ft (assist by E. Mudiay),52,38
2,3:41.0,,Shooting foul by J. Lamb (drawn by T. Hardaway),52,38
2,3:41.0,,K. Knox enters the game for D. Dotson,52,38
2,3:41.0,,T. Hardaway makes free throw 1 of 1,52,39
2,3:18.0,T. Parker misses 2-pt jump shot from 15 ft,,52,39
2,3:16.0,,Defensive rebound by N. Vonleh,52,39
2,3:09.0,,K. Knox misses 3-pt jump shot from 24 ft,52,39
2,3:07.0,Defensive rebound by C. Zeller,,52,39
2,3:05.0,Violation by Team (kicked ball),,52,39
2,2:49.0,,Turnover by E. Mudiay (bad pass),52,39
2,2:36.0,T. Parker misses 3-pt jump shot from 25 ft,,52,39
2,2:34.0,,Defensive rebound by N. Vonleh,52,39
2,2:19.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by T. Hardaway),52,42
2,2:07.0,K. Walker makes 3-pt jump shot from 26 ft,,55,42
2,2:07.0,Shooting foul by E. Mudiay (drawn by K. Walker),,55,42
2,2:07.0,N. Batum enters the game for T. Parker,,55,42
2,2:07.0,K. Walker makes free throw 1 of 1,,56,42
2,1:56.0,,K. Knox misses 2-pt jump shot from 19 ft,56,42
2,1:54.0,Defensive rebound by K. Walker,,56,42
2,1:38.0,K. Walker makes 3-pt jump shot from 25 ft,,59,42
2,1:29.0,,E. Mudiay makes 2-pt jump shot from 16 ft,59,44
2,1:11.0,M. Williams misses 3-pt jump shot from 25 ft,,59,44
2,1:10.0,Offensive rebound by K. Walker,,59,44
2,1:06.0,J. Lamb misses 3-pt jump shot from 26 ft,,59,44
2,1:04.0,,Defensive rebound by T. Hardaway,59,44
2,1:00.0,,Turnover by T. Hardaway (bad pass; steal by K. Walker),59,44
2,0:58.0,Shooting foul by N. Vonleh (drawn by M. Williams),,59,44
2,0:58.0,M. Williams makes free throw 1 of 2,,60,44
2,0:58.0,M. Williams makes free throw 2 of 2,,61,44
2,0:48.0,,E. Mudiay misses 3-pt jump shot from 24 ft,61,44
2,0:46.0,Defensive rebound by M. Williams,,61,44
2,0:39.0,K. Walker misses 2-pt jump shot from 6 ft,,61,44
2,0:37.0,,Defensive rebound by N. Vonleh,61,44
2,0:27.0,,K. Knox misses 2-pt hook shot from 8 ft,61,44
2,0:26.0,,Offensive rebound by Team,61,44
2,0:26.0,Loose ball foul by M. Williams (drawn by E. Freedom),,61,44
2,0:26.0,,D. Dotson enters the game for E. Freedom,61,44
2,0:15.0,,T. Hardaway makes 3-pt jump shot from 26 ft,61,47
2,0:00.0,K. Walker misses 3-pt jump shot from 26 ft,,61,47
2,0:00.0,Offensive rebound by Team,,61,47
3,11:47.0,,K. Knox misses 2-pt jump shot from 14 ft,61,47
3,11:45.0,Defensive rebound by J. Lamb,,61,47
3,11:28.0,J. Lamb makes 2-pt jump shot from 8 ft,,63,47
3,11:05.0,,N. Vonleh misses 2-pt layup from 1 ft (block by C. Zeller),63,47
3,11:04.0,Defensive rebound by Team,,63,47
3,10:52.0,K. Walker makes 2-pt layup from 8 ft (assist by N. Batum),,65,47
3,10:37.0,,K. Knox makes 2-pt jump shot from 10 ft,65,49
3,10:23.0,J. Lamb makes 2-pt layup from 1 ft (assist by N. Batum),,67,49
3,10:06.0,,Turnover by E. Freedom (lost ball; steal by C. Zeller),67,49
3,9:57.0,J. Lamb makes 2-pt layup from 2 ft,,69,49
3,9:57.0,,New York full timeout,69,49
3,9:55.0,,Offensive foul by T. Hardaway (drawn by N. Batum),69,49
3,9:55.0,,Turnover by T. Hardaway (offensive foul),69,49
3,9:47.0,Personal foul by E. Freedom (drawn by K. Walker),,69,49
3,9:37.0,N. Batum makes 3-pt jump shot from 26 ft (assist by C. Zeller),,72,49
3,9:24.0,,N. Vonleh misses 3-pt jump shot from 26 ft,72,49
3,9:23.0,Defensive rebound by Team,,72,49
3,9:10.0,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),,75,49
3,8:58.0,,E. Mudiay misses 3-pt jump shot from 25 ft,75,49
3,8:56.0,Defensive rebound by M. Williams,,75,49
3,8:50.0,J. Lamb makes 2-pt layup from 1 ft,,77,49
3,8:42.0,,Personal foul by N. Batum (drawn by T. Hardaway),77,49
3,8:42.0,,D. Dotson enters the game for E. Mudiay,77,49
3,8:42.0,,F. Ntilikina enters the game for N. Vonleh,77,49
3,8:39.0,,Turnover by T. Hardaway (offensive foul),77,49
3,8:39.0,,Offensive foul by T. Hardaway (drawn by K. Walker),77,49
3,8:25.0,M. Williams misses 2-pt layup from 8 ft,,77,49
3,8:23.0,,Defensive rebound by K. Knox,77,49
3,8:18.0,,Personal foul by N. Batum (drawn by E. Freedom),77,49
3,8:09.0,,K. Knox makes 3-pt jump shot from 24 ft (assist by D. Dotson),77,52
3,7:53.0,M. Williams misses 3-pt jump shot from 26 ft,,77,52
3,7:51.0,,Defensive rebound by K. Knox,77,52
3,7:45.0,,F. Ntilikina misses 2-pt layup from 2 ft,77,52
3,7:43.0,,Offensive rebound by E. Freedom,77,52
3,7:43.0,,E. Freedom misses 2-pt layup at rim,77,52
3,7:41.0,Defensive rebound by N. Batum,,77,52
3,7:32.0,N. Batum makes 3-pt jump shot from 24 ft (assist by C. Zeller),,80,52
3,7:22.0,,K. Knox misses 3-pt jump shot from 27 ft,80,52
3,7:20.0,,Offensive rebound by K. Knox,80,52
3,7:18.0,,K. Knox misses 2-pt layup from 4 ft,80,52
3,7:16.0,Defensive rebound by K. Walker,,80,52
3,7:12.0,Turnover by K. Walker (bad pass; steal by T. Hardaway),,80,52
3,7:08.0,,T. Hardaway makes 3-pt jump shot from 29 ft,80,55
3,6:55.0,Charlotte full timeout,,80,55
3,6:55.0,M. Kidd-Gilchrist enters the game for M. Williams,,80,55
3,6:55.0,,M. Robinson enters the game for E. Freedom,80,55
3,6:46.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,82,55
3,6:25.0,,F. Ntilikina makes 2-pt jump shot from 18 ft,82,57
3,6:15.0,Personal foul by K. Knox (drawn by C. Zeller),,82,57
3,6:00.0,J. Lamb misses 3-pt jump shot from 27 ft,,82,57
3,5:58.0,,Defensive rebound by Team,82,57
3,5:46.0,,K. Knox misses 2-pt layup from 1 ft,82,57
3,5:44.0,,Offensive rebound by M. Robinson,82,57
3,5:44.0,,M. Robinson makes 2-pt dunk at rim,82,59
3,5:20.0,J. Lamb makes 2-pt jump shot from 16 ft,,84,59
3,5:08.0,,Offensive foul by M. Robinson (drawn by K. Walker),84,59
3,5:08.0,,Turnover by M. Robinson (offensive foul),84,59
3,5:00.0,Personal foul by F. Ntilikina (drawn by K. Walker),,84,59
3,4:54.0,K. Walker misses 3-pt jump shot from 23 ft,,84,59
3,4:52.0,,Defensive rebound by D. Dotson,84,59
3,4:41.0,,Personal foul by C. Zeller (drawn by D. Dotson),84,59
3,4:36.0,,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by M. Robinson),84,62
3,4:25.0,K. Walker misses 3-pt jump shot from 26 ft,,84,62
3,4:23.0,,Defensive rebound by K. Knox,84,62
3,4:17.0,,K. Knox misses 2-pt hook shot from 8 ft,84,62
3,4:15.0,Defensive rebound by J. Lamb,,84,62
3,4:06.0,Shooting foul by M. Robinson (drawn by C. Zeller),,84,62
3,4:06.0,C. Zeller makes free throw 1 of 2,,85,62
3,4:06.0,M. Bridges enters the game for N. Batum,,85,62
3,4:06.0,C. Zeller makes free throw 2 of 2,,86,62
3,4:00.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Hardaway),86,65
3,3:33.0,J. Lamb misses 3-pt jump shot from 27 ft,,86,65
3,3:31.0,,Defensive rebound by K. Knox,86,65
3,3:27.0,,T. Hardaway misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),86,65
3,3:25.0,,Offensive rebound by Team,86,65
3,3:22.0,,T. Hardaway makes 2-pt jump shot from 13 ft (assist by F. Ntilikina),86,67
3,3:08.0,K. Walker makes 2-pt jump shot from 16 ft,,88,67
3,2:57.0,,F. Ntilikina makes 2-pt jump shot from 14 ft,88,69
3,2:43.0,Shooting foul by M. Robinson (drawn by K. Walker),,88,69
3,2:43.0,K. Walker makes free throw 1 of 2,,89,69
3,2:43.0,F. Kaminsky enters the game for C. Zeller,,89,69
3,2:43.0,K. Walker makes free throw 2 of 2,,90,69
3,2:36.0,,T. Hardaway makes 2-pt layup from 2 ft,90,71
3,2:36.0,Violation by Team (def goaltending),,90,71
3,2:36.0,,Shooting foul by J. Lamb (drawn by T. Hardaway),90,71
3,2:36.0,,T. Hardaway makes free throw 1 of 1,90,72
3,2:25.0,K. Walker misses 3-pt jump shot from 26 ft,,90,72
3,2:23.0,Offensive rebound by F. Kaminsky,,90,72
3,2:15.0,Turnover by M. Bridges (lost ball; steal by T. Hardaway),,90,72
3,2:06.0,,Turnover by T. Hardaway (bad pass; steal by J. Lamb),90,72
3,2:01.0,J. Lamb makes 2-pt layup from 1 ft,,92,72
3,1:50.0,,K. Knox misses 2-pt jump shot from 16 ft,92,72
3,1:48.0,Defensive rebound by J. Lamb,,92,72
3,1:43.0,Personal foul by T. Hardaway (drawn by M. Kidd-Gilchrist),,92,72
3,1:43.0,M. Kidd-Gilchrist makes free throw 1 of 2,,93,72
3,1:43.0,,C. Lee enters the game for T. Hardaway,93,72
3,1:43.0,M. Kidd-Gilchrist makes free throw 2 of 2,,94,72
3,1:33.0,,Turnover by D. Dotson (lost ball; steal by K. Walker),94,72
3,1:29.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by C. Lee),,94,72
3,1:22.0,,F. Ntilikina makes 3-pt jump shot from 22 ft (assist by C. Lee),94,75
3,1:01.0,K. Walker misses 2-pt jump shot from 14 ft,,94,75
3,1:00.0,,Defensive rebound by K. Knox,94,75
3,0:42.0,,M. Robinson misses 2-pt layup from 2 ft,94,75
3,0:39.0,Defensive rebound by J. Lamb,,94,75
3,0:35.0,Shooting foul by F. Ntilikina (drawn by J. Lamb),,94,75
3,0:35.0,J. Lamb makes free throw 1 of 2,,95,75
3,0:35.0,M. Williams enters the game for F. Kaminsky,,95,75
3,0:35.0,,N. Vonleh enters the game for M. Robinson,95,75
3,0:35.0,J. Lamb makes free throw 2 of 2,,96,75
3,0:27.0,,F. Ntilikina misses 2-pt layup from 1 ft,96,75
3,0:26.0,,Offensive rebound by C. Lee,96,75
3,0:24.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by C. Lee),96,78
3,0:00.0,K. Walker makes 3-pt jump shot from 27 ft,,99,78
4,11:49.0,Turnover by M. Bridges (out of bounds lost ball),,99,78
4,11:34.0,,D. Dotson makes 2-pt jump shot from 21 ft (assist by N. Vonleh),99,80
4,11:17.0,M. Monk misses 3-pt jump shot from 27 ft,,99,80
4,11:15.0,,Defensive rebound by N. Vonleh,99,80
4,11:11.0,,F. Ntilikina makes 3-pt jump shot from 27 ft (assist by N. Vonleh),99,83
4,10:55.0,T. Parker misses 2-pt jump shot from 19 ft,,99,83
4,10:53.0,,Defensive rebound by N. Vonleh,99,83
4,10:47.0,,F. Ntilikina makes 2-pt jump shot from 21 ft (assist by N. Vonleh),99,85
4,10:45.0,Charlotte full timeout,,99,85
4,10:24.0,T. Parker makes 2-pt layup from 6 ft,,101,85
4,10:08.0,,Personal foul by M. Bridges (drawn by N. Vonleh),101,85
4,10:03.0,,Turnover by F. Ntilikina (offensive foul),101,85
4,10:03.0,,Offensive foul by F. Ntilikina (drawn by F. Kaminsky),101,85
4,9:54.0,T. Parker misses 2-pt layup from 1 ft,,101,85
4,9:53.0,Offensive rebound by Team,,101,85
4,9:53.0,,Loose ball foul by N. Vonleh (drawn by M. Kidd-Gilchrist),101,85
4,9:41.0,M. Bridges misses 2-pt hook shot from 9 ft,,101,85
4,9:39.0,,Defensive rebound by N. Vonleh,101,85
4,9:30.0,,K. Knox misses 2-pt jump shot from 19 ft,101,85
4,9:28.0,Defensive rebound by M. Monk,,101,85
4,9:19.0,Offensive foul by F. Kaminsky (drawn by C. Lee),,101,85
4,9:19.0,Turnover by F. Kaminsky (offensive foul),,101,85
4,9:19.0,M. Williams enters the game for F. Kaminsky,,101,85
4,9:10.0,,Turnover by F. Ntilikina (out of bounds lost ball),101,85
4,9:00.0,Shooting foul by F. Ntilikina (drawn by T. Parker),,101,85
4,9:00.0,,R. Baker enters the game for C. Lee,101,85
4,9:00.0,,T. Hardaway enters the game for F. Ntilikina,101,85
4,9:00.0,T. Parker makes free throw 1 of 2,,102,85
4,9:00.0,T. Parker makes free throw 2 of 2,,103,85
4,8:47.0,,Turnover by N. Vonleh (lost ball; steal by T. Parker),103,85
4,8:34.0,M. Williams makes 3-pt jump shot from 25 ft (assist by T. Parker),,106,85
4,8:33.0,,New York full timeout,106,85
4,8:33.0,Technical foul by D. Fizdale,,106,85
4,8:33.0,M. Monk misses technical free throw,,106,85
4,8:33.0,,Defensive rebound by Team,106,85
4,8:33.0,Technical foul by D. Fizdale,,106,85
4,8:33.0,M. Monk makes technical free throw,,107,85
4,8:33.0,,D. Fizdale ejected from game,107,85
4,7:51.0,,D. Dotson misses 2-pt layup from 1 ft,107,85
4,7:50.0,Defensive rebound by M. Bridges,,107,85
4,7:38.0,Shooting foul by T. Hardaway (drawn by M. Kidd-Gilchrist),,107,85
4,7:38.0,M. Kidd-Gilchrist makes free throw 1 of 2,,108,85
4,7:38.0,M. Kidd-Gilchrist makes free throw 2 of 2,,109,85
4,7:16.0,,Turnover by N. Vonleh (bad pass; steal by M. Williams),109,85
4,7:09.0,T. Parker makes 2-pt layup from 1 ft,,111,85
4,7:00.0,,T. Hardaway misses 3-pt jump shot from 25 ft,111,85
4,6:58.0,Defensive rebound by M. Monk,,111,85
4,6:50.0,M. Monk misses 2-pt jump shot from 18 ft,,111,85
4,6:48.0,,Defensive rebound by K. Knox,111,85
4,6:42.0,,K. Knox makes 2-pt layup from 1 ft,111,87
4,6:32.0,Shooting foul by R. Baker (drawn by T. Parker),,111,87
4,6:32.0,T. Parker makes free throw 1 of 2,,112,87
4,6:32.0,,M. Robinson enters the game for N. Vonleh,112,87
4,6:32.0,T. Parker misses free throw 2 of 2,,112,87
4,6:30.0,,Defensive rebound by K. Knox,112,87
4,6:20.0,,R. Baker makes 2-pt jump shot from 17 ft,112,89
4,5:54.0,T. Parker misses 2-pt jump shot from 21 ft,,112,89
4,5:52.0,,Defensive rebound by K. Knox,112,89
4,5:42.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by R. Baker),112,91
4,5:42.0,Charlotte full timeout,,112,91
4,5:42.0,N. Batum enters the game for M. Bridges,,112,91
4,5:42.0,D. Graham enters the game for T. Parker,,112,91
4,5:20.0,M. Monk misses 2-pt jump shot from 21 ft,,112,91
4,5:18.0,,Defensive rebound by K. Knox,112,91
4,5:12.0,,Personal foul by M. Williams (drawn by T. Hardaway),112,91
4,4:56.0,,D. Dotson makes 2-pt layup from 2 ft,112,93
