QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
1,4:33.0,,N. Vonleh makes 2-pt hook shot from 6 ft,15,14
1,4:19.0,J. Holiday misses 2-pt jump shot from 7 ft,,15,14
1,4:16.0,,Defensive rebound by N. Vonleh,15,14
1,4:11.0,,L. Kornet makes 3-pt jump shot from 28 ft (assist by K. Allen),15,17
1,3:54.0,M. Gasol misses 3-pt jump shot from 24 ft,,15,17
1,3:51.0,,Defensive rebound by N. Vonleh,15,17
1,3:41.0,,Turnover by W. Matthews (lost ball; steal by M. Gasol),15,17
1,3:29.0,M. Gasol makes 2-pt jump shot from 4 ft (assist by S. Mack),,17,17
1,3:04.0,,L. Kornet misses 3-pt jump shot from 28 ft,17,17
1,3:00.0,Defensive rebound by J. Green,,17,17
1,2:38.0,J. Jackson makes 2-pt jump shot from 11 ft (assist by S. Mack),,19,17
1,2:15.0,,L. Kornet makes 2-pt dunk from 2 ft (assist by N. Vonleh),19,19
1,2:12.0,Memphis full timeout,,19,19
1,2:12.0,J. Carter enters the game for M. Gasol,,19,19
1,2:12.0,J. Noah enters the game for J. Holiday,,19,19
1,2:12.0,I. Rabb enters the game for J. Jackson,,19,19
1,2:12.0,,M. Hezonja enters the game for K. Knox,19,19
1,2:12.0,,A. Trier enters the game for N. Vonleh,19,19
1,2:05.0,J. Green misses 2-pt layup from 3 ft (block by L. Kornet),,19,19
1,2:02.0,,Defensive rebound by A. Trier,19,19
1,1:49.0,,W. Matthews misses 3-pt jump shot from 26 ft,19,19
1,1:47.0,Defensive rebound by J. Carter,,19,19
1,1:39.0,S. Mack misses 2-pt jump shot from 6 ft,,19,19
1,1:36.0,,Defensive rebound by W. Matthews,19,19
1,1:33.0,,K. Allen misses 2-pt layup from 7 ft (block by J. Carter),19,19
1,1:32.0,Defensive rebound by Team,,19,19
1,1:16.0,J. Carter misses 2-pt jump shot from 19 ft,,19,19
1,1:11.0,,Defensive rebound by M. Hezonja,19,19
1,1:08.0,,Turnover by M. Hezonja (out of bounds lost ball),19,19
1,0:46.0,S. Mack misses 3-pt jump shot from 24 ft,,19,19
1,0:43.0,,Defensive rebound by M. Hezonja,19,19
1,0:25.0,,Turnover by M. Hezonja (step out of bounds),19,19
1,0:25.0,M. Conley enters the game for I. Rabb,,19,19
1,0:06.0,S. Mack misses 3-pt jump shot from 25 ft,,19,19
1,0:05.0,Offensive rebound by J. Green,,19,19
1,0:04.0,J. Green misses 2-pt layup from 1 ft,,19,19
1,0:04.0,,Defensive rebound by K. Allen,19,19
1,0:00.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by K. Allen),19,22
2,11:44.0,,M. Hezonja misses 2-pt layup from 6 ft (block by J. Noah),19,22
2,11:41.0,,Offensive rebound by M. Hezonja,19,22
2,11:38.0,,M. Hezonja misses 3-pt jump shot from 26 ft,19,22
2,11:38.0,Defensive rebound by I. Rabb,,19,22
2,11:19.0,J. Noah makes 2-pt layup from 2 ft (assist by I. Rabb),,21,22
2,10:53.0,,W. Matthews misses 3-pt jump shot from 23 ft,21,22
2,10:50.0,Defensive rebound by S. Mack,,21,22
2,10:39.0,I. Rabb misses 2-pt layup from 3 ft,,21,22
2,10:37.0,,Defensive rebound by L. Kornet,21,22
2,10:31.0,,L. Kornet makes 3-pt jump shot from 27 ft (assist by K. Allen),21,25
2,10:18.0,J. Noah misses 2-pt layup from 7 ft (block by L. Kornet),,21,25
2,10:16.0,,Defensive rebound by L. Kornet,21,25
2,10:13.0,,A. Trier misses 2-pt layup from 1 ft,21,25
2,10:11.0,Defensive rebound by I. Rabb,,21,25
2,9:54.0,I. Rabb misses 2-pt layup from 2 ft (block by K. Allen),,21,25
2,9:54.0,Offensive rebound by Team,,21,25
2,9:54.0,B. Caboclo enters the game for S. Mack,,21,25
2,9:54.0,,D. Jordan enters the game for L. Kornet,21,25
2,9:51.0,J. Carter misses 2-pt jump shot from 11 ft,,21,25
2,9:48.0,,Defensive rebound by D. Jordan,21,25
2,9:31.0,,Turnover by D. Jordan (bad pass),21,25
2,9:31.0,S. Mack enters the game for J. Green,,21,25
2,9:22.0,B. Caboclo misses 3-pt jump shot from 25 ft,,21,25
2,9:15.0,,Defensive rebound by M. Hezonja,21,25
2,9:13.0,,M. Hezonja makes 2-pt layup from 1 ft,21,27
2,9:10.0,Memphis full timeout,,21,27
2,9:10.0,,D. Smith enters the game for K. Allen,21,27
2,8:55.0,I. Rabb makes 2-pt layup from 3 ft (assist by J. Noah),,23,27
2,8:38.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),23,29
2,8:26.0,I. Rabb misses 2-pt jump shot from 7 ft,,23,29
2,8:21.0,,Defensive rebound by D. Smith,23,29
2,8:14.0,,W. Matthews misses 3-pt jump shot from 26 ft,23,29
2,8:11.0,Defensive rebound by J. Carter,,23,29
2,8:02.0,Turnover by J. Noah (lost ball; steal by D. Jordan),,23,29
2,8:02.0,,Personal foul by J. Noah (drawn by W. Matthews),23,29
2,7:52.0,,Shooting foul by S. Mack (drawn by D. Smith),23,29
2,7:52.0,J. Holiday enters the game for J. Carter,,23,29
2,7:52.0,,D. Smith misses free throw 1 of 2,23,29
2,7:52.0,,Offensive rebound by Team,23,29
2,7:52.0,,D. Smith makes free throw 2 of 2,23,30
2,7:37.0,I. Rabb makes 2-pt hook shot from 6 ft,,25,30
2,7:27.0,,Shooting foul by J. Noah (drawn by D. Jordan),25,30
2,7:27.0,,D. Jordan misses free throw 1 of 2,25,30
2,7:27.0,,Offensive rebound by Team,25,30
2,7:27.0,,N. Vonleh enters the game for M. Hezonja,25,30
2,7:27.0,,D. Jordan makes free throw 2 of 2,25,31
2,7:06.0,I. Rabb misses 2-pt jump shot from 12 ft,,25,31
2,7:02.0,,Defensive rebound by D. Jordan,25,31
2,6:57.0,,D. Smith makes 2-pt layup from 1 ft,25,33
2,6:40.0,J. Noah misses 2-pt layup from 1 ft,,25,33
2,6:40.0,,Defensive rebound by Team,25,33
2,6:40.0,M. Conley enters the game for S. Mack,,25,33
2,6:40.0,M. Gasol enters the game for J. Noah,,25,33
2,6:40.0,J. Jackson enters the game for I. Rabb,,25,33
2,6:24.0,,W. Matthews misses 3-pt jump shot from 25 ft,25,33
2,6:21.0,Defensive rebound by J. Holiday,,25,33
2,6:08.0,J. Jackson misses 2-pt jump shot from 11 ft,,25,33
2,6:06.0,,Defensive rebound by D. Jordan,25,33
2,6:00.0,,D. Smith misses 2-pt jump shot from 23 ft,25,33
2,6:00.0,Defensive rebound by M. Gasol,,25,33
2,5:41.0,M. Gasol misses 3-pt jump shot from 25 ft,,25,33
2,5:37.0,Offensive rebound by M. Conley,,25,33
2,5:34.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Jackson),,28,33
2,5:27.0,,New York full timeout,28,33
2,5:27.0,J. Washburn enters the game for B. Caboclo,,28,33
2,5:27.0,,D. Dotson enters the game for W. Matthews,28,33
2,5:27.0,,K. Knox enters the game for A. Trier,28,33
2,5:20.0,,K. Knox misses 3-pt jump shot from 26 ft,28,33
2,5:18.0,Defensive rebound by M. Conley,,28,33
2,5:04.0,M. Gasol makes 2-pt layup from 3 ft (assist by J. Holiday),,30,33
2,4:44.0,,D. Dotson misses 3-pt jump shot from 23 ft,30,33
2,4:39.0,Defensive rebound by J. Washburn,,30,33
2,4:29.0,Turnover by M. Gasol (lost ball; steal by D. Smith),,30,33
2,4:19.0,,D. Smith makes 2-pt layup from 1 ft,30,35
2,4:11.0,M. Conley makes 2-pt jump shot from 5 ft,,32,35
2,3:58.0,,Turnover by D. Smith (traveling),32,35
2,3:48.0,M. Gasol misses 2-pt jump shot from 4 ft,,32,35
2,3:48.0,Offensive rebound by J. Jackson,,32,35
2,3:48.0,J. Jackson misses 2-pt layup at rim,,32,35
2,3:48.0,Offensive rebound by J. Jackson,,32,35
2,3:48.0,Shooting foul by D. Jordan (drawn by J. Jackson),,32,35
2,3:48.0,J. Jackson makes free throw 1 of 2,,33,35
2,3:48.0,J. Jackson misses free throw 2 of 2,,33,35
2,3:47.0,,Defensive rebound by D. Jordan,33,35
2,3:24.0,,D. Smith misses 3-pt jump shot from 25 ft,33,35
2,3:20.0,Defensive rebound by J. Washburn,,33,35
2,3:14.0,M. Conley misses 2-pt jump shot from 21 ft,,33,35
2,3:11.0,Offensive rebound by J. Jackson,,33,35
2,3:01.0,M. Gasol misses 2-pt layup from 4 ft,,33,35
2,2:50.0,Offensive rebound by Team,,33,35
2,2:46.0,M. Conley makes 2-pt jump shot from 20 ft (assist by J. Washburn),,35,35
2,2:31.0,,D. Dotson misses 3-pt jump shot from 23 ft,35,35
2,2:29.0,Defensive rebound by J. Washburn,,35,35
2,2:22.0,J. Holiday misses 3-pt jump shot from 25 ft,,35,35
2,2:19.0,,Defensive rebound by D. Smith,35,35
2,2:10.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by D. Smith),35,38
2,1:46.0,M. Conley misses 3-pt jump shot from 29 ft,,35,38
2,1:45.0,,Defensive rebound by Team,35,38
2,1:45.0,Loose ball foul by J. Jackson (drawn by N. Vonleh),,35,38
2,1:45.0,,L. Kornet enters the game for N. Vonleh,35,38
2,1:36.0,,L. Kornet misses 3-pt jump shot from 27 ft,35,38
2,1:31.0,,Offensive rebound by D. Jordan,35,38
2,1:26.0,,D. Smith misses 3-pt jump shot from 25 ft,35,38
2,1:24.0,Defensive rebound by J. Holiday,,35,38
2,1:14.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,37,38
2,1:07.0,,Turnover by K. Knox (traveling),37,38
2,0:52.0,M. Conley makes 2-pt jump shot from 5 ft (assist by J. Jackson),,39,38
2,0:52.0,J. Noah enters the game for M. Gasol,,39,38
2,0:52.0,,K. Allen enters the game for D. Smith,39,38
2,0:33.0,,D. Dotson misses 2-pt jump shot from 16 ft,39,38
2,0:30.0,Defensive rebound by J. Jackson,,39,38
2,0:15.0,Shooting foul by K. Allen (drawn by M. Conley),,39,38
2,0:15.0,M. Conley makes free throw 1 of 3,,40,38
2,0:15.0,M. Conley makes free throw 2 of 3,,41,38
2,0:15.0,M. Conley makes free throw 3 of 3,,42,38
2,0:09.0,,New York full timeout,42,38
2,0:09.0,,W. Matthews enters the game for K. Allen,42,38
2,0:09.0,,D. Smith enters the game for D. Dotson,42,38
2,0:04.0,,L. Kornet makes 3-pt jump shot from 26 ft (assist by D. Smith),42,41
2,0:00.0,J. Jackson misses 3-pt jump shot from 31 ft,,42,41
2,0:00.0,Offensive rebound by Team,,42,41
3,11:48.0,,Turnover by D. Smith (bad pass; steal by M. Conley),42,41
3,11:34.0,J. Jackson misses 2-pt layup from 7 ft,,42,41
3,11:32.0,Offensive rebound by M. Gasol,,42,41
3,11:31.0,M. Gasol misses 2-pt layup from 3 ft,,42,41
3,11:31.0,Offensive rebound by M. Gasol,,42,41
3,11:29.0,M. Gasol makes 2-pt layup from 1 ft,,44,41
3,11:07.0,,Personal foul by J. Jackson (drawn by D. Jordan),44,41
3,10:53.0,,D. Smith misses 3-pt jump shot from 25 ft,44,41
3,10:50.0,Defensive rebound by M. Gasol,,44,41
3,10:33.0,M. Gasol makes 2-pt jump shot from 20 ft (assist by M. Conley),,46,41
3,10:07.0,,K. Knox misses 3-pt jump shot from 27 ft,46,41
3,10:04.0,,Offensive rebound by N. Vonleh,46,41
3,9:59.0,,D. Dotson misses 3-pt jump shot from 25 ft,46,41
3,9:56.0,Defensive rebound by M. Conley,,46,41
3,9:46.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Gasol),,48,41
3,9:46.0,Shooting foul by K. Knox (drawn by J. Jackson),,48,41
3,9:46.0,Memphis full timeout,,48,41
3,9:46.0,J. Jackson makes free throw 1 of 1,,49,41
3,9:45.0,,Personal foul by B. Caboclo (drawn by D. Smith),49,41
3,9:45.0,I. Rabb enters the game for J. Jackson,,49,41
3,9:22.0,,K. Knox misses 2-pt jump shot from 9 ft,49,41
3,9:20.0,Defensive rebound by M. Gasol,,49,41
3,9:19.0,Turnover by I. Rabb (bad pass),,49,41
3,8:58.0,,N. Vonleh makes 3-pt jump shot from 23 ft (assist by D. Smith),49,44
3,8:52.0,Personal foul by K. Knox (drawn by I. Rabb),,49,44
3,8:40.0,B. Caboclo misses 2-pt jump shot from 7 ft,,49,44
3,8:38.0,,Defensive rebound by N. Vonleh,49,44
3,8:24.0,,K. Knox misses 2-pt jump shot from 13 ft,49,44
3,8:18.0,Defensive rebound by M. Conley,,49,44
3,8:15.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by M. Conley),,52,44
3,7:57.0,,K. Knox misses 3-pt jump shot from 25 ft,52,44
3,7:56.0,Defensive rebound by M. Conley,,52,44
3,7:50.0,M. Conley makes 2-pt jump shot from 8 ft,,54,44
3,7:48.0,,New York full timeout,54,44
3,7:48.0,J. Washburn enters the game for B. Caboclo,,54,44
3,7:48.0,,A. Trier enters the game for D. Smith,54,44
3,7:35.0,,Turnover by A. Trier (bad pass; steal by J. Washburn),54,44
3,7:29.0,J. Holiday misses 2-pt layup from 4 ft,,54,44
3,7:27.0,,Defensive rebound by D. Jordan,54,44
3,7:14.0,,Turnover by A. Trier (bad pass),54,44
3,7:00.0,M. Conley makes 3-pt jump shot from 26 ft (assist by J. Holiday),,57,44
3,6:46.0,,A. Trier makes 3-pt jump shot from 26 ft (assist by D. Dotson),57,47
3,6:28.0,J. Washburn misses 2-pt jump shot from 17 ft,,57,47
3,6:25.0,,Defensive rebound by A. Trier,57,47
3,6:13.0,,Personal foul by J. Holiday (drawn by K. Knox),57,47
3,6:00.0,,Turnover by N. Vonleh (lost ball; steal by M. Conley),57,47
3,5:43.0,Shooting foul by D. Dotson (drawn by I. Rabb),,57,47
3,5:43.0,,K. Allen enters the game for K. Knox,57,47
3,5:43.0,I. Rabb makes free throw 1 of 2,,58,47
3,5:43.0,I. Rabb misses free throw 2 of 2,,58,47
3,5:41.0,,Defensive rebound by D. Jordan,58,47
3,5:25.0,,Offensive foul by A. Trier (drawn by M. Conley),58,47
3,5:25.0,,Turnover by A. Trier (offensive foul),58,47
3,5:12.0,J. Holiday makes 3-pt jump shot from 22 ft (assist by M. Gasol),,61,47
3,4:57.0,,Shooting foul by I. Rabb (drawn by D. Jordan),61,47
3,4:57.0,,D. Jordan makes free throw 1 of 2,61,48
3,4:57.0,S. Mack enters the game for J. Holiday,,61,48
3,4:57.0,,W. Matthews enters the game for D. Dotson,61,48
3,4:57.0,,D. Jordan makes free throw 2 of 2,61,49
3,4:44.0,Shooting foul by K. Allen (drawn by J. Washburn),,61,49
3,4:44.0,J. Washburn makes free throw 1 of 2,,62,49
3,4:44.0,J. Washburn misses free throw 2 of 2,,62,49
3,4:42.0,,Defensive rebound by D. Jordan,62,49
3,4:23.0,,Personal foul by J. Washburn (drawn by N. Vonleh),62,49
3,4:23.0,,N. Vonleh makes free throw 1 of 2,62,50
3,4:23.0,,N. Vonleh makes free throw 2 of 2,62,51
3,4:15.0,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),,65,51
3,4:03.0,,N. Vonleh makes 2-pt jump shot from 10 ft (assist by K. Allen),65,53
3,3:50.0,M. Conley misses 3-pt jump shot from 25 ft,,65,53
3,3:44.0,,Defensive rebound by A. Trier,65,53
3,3:38.0,,D. Jordan makes 2-pt layup at rim (assist by A. Trier),65,55
3,3:20.0,M. Conley misses 2-pt jump shot from 11 ft,,65,55
3,3:17.0,,Defensive rebound by A. Trier,65,55
3,3:15.0,,A. Trier misses 2-pt layup from 2 ft (block by S. Mack),65,55
3,3:15.0,,Offensive rebound by Team,65,55
3,3:15.0,J. Jackson enters the game for I. Rabb,,65,55
3,3:15.0,,M. Hezonja enters the game for D. Jordan,65,55
3,3:15.0,,L. Kornet enters the game for N. Vonleh,65,55
3,3:01.0,,L. Kornet misses 2-pt layup from 3 ft,65,55
3,2:59.0,,Offensive rebound by L. Kornet,65,55
3,2:57.0,,W. Matthews misses 3-pt jump shot from 23 ft,65,55
3,2:55.0,Defensive rebound by M. Conley,,65,55
3,2:35.0,M. Gasol makes 2-pt jump shot from 9 ft (assist by S. Mack),,67,55
3,2:35.0,Shooting foul by A. Trier (drawn by M. Gasol),,67,55
3,2:35.0,M. Gasol makes free throw 1 of 1,,68,55
3,2:11.0,,K. Allen misses 3-pt jump shot from 23 ft,68,55
3,2:06.0,Defensive rebound by J. Washburn,,68,55
3,1:55.0,M. Gasol misses 2-pt jump shot from 10 ft,,68,55
3,1:52.0,,Defensive rebound by M. Hezonja,68,55
3,1:45.0,,Turnover by A. Trier (bad pass; steal by S. Mack),68,55
3,1:31.0,M. Conley makes 2-pt layup from 1 ft (assist by M. Gasol),,70,55
3,1:31.0,,New York full timeout,70,55
3,1:31.0,J. Carter enters the game for M. Conley,,70,55
3,1:31.0,J. Noah enters the game for M. Gasol,,70,55
3,1:31.0,,K. Knox enters the game for A. Trier,70,55
3,1:12.0,,Shooting foul by J. Noah (drawn by K. Knox),70,55
3,1:12.0,,K. Knox makes free throw 1 of 2,70,56
3,1:12.0,,K. Knox makes free throw 2 of 2,70,57
3,0:48.0,J. Jackson makes 3-pt jump shot from 25 ft,,73,57
3,0:34.0,,K. Knox makes 3-pt jump shot from 26 ft (assist by K. Allen),73,60
3,0:16.0,Personal foul by W. Matthews (drawn by J. Jackson),,73,60
3,0:16.0,J. Jackson misses free throw 1 of 2,,73,60
3,0:16.0,Offensive rebound by Team,,73,60
3,0:16.0,J. Holiday enters the game for J. Noah,,73,60
3,0:16.0,J. Jackson makes free throw 2 of 2,,74,60
3,0:01.0,,K. Knox makes 2-pt dunk from 1 ft,74,62
3,0:00.0,J. Holiday misses 3-pt jump shot from 35 ft (block by L. Kornet),,74,62
3,0:00.0,Offensive rebound by Team,,74,62
4,11:41.0,S. Mack misses 2-pt jump shot from 16 ft,,74,62
4,11:39.0,,Defensive rebound by Team,74,62
4,11:23.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by L. Kornet),74,65
4,11:09.0,Personal foul by M. Hezonja (drawn by J. Noah),,74,65
4,10:58.0,,Violation by Team (kicked ball),74,65
4,10:49.0,J. Holiday makes 3-pt jump shot from 26 ft,,77,65
4,10:34.0,,K. Knox misses 2-pt layup from 1 ft,77,65
4,10:32.0,Defensive rebound by J. Noah,,77,65
4,10:25.0,Turnover by J. Carter (lost ball; steal by M. Hezonja),,77,65
4,10:20.0,,K. Knox misses 2-pt layup from 1 ft,77,65
4,10:17.0,Defensive rebound by S. Mack,,77,65
4,10:15.0,J. Holiday misses 3-pt jump shot from 26 ft,,77,65
4,10:15.0,,Defensive rebound by K. Allen,77,65
4,10:03.0,,K. Allen misses 2-pt layup from 1 ft,77,65
4,10:02.0,Defensive rebound by J. Carter,,77,65
4,9:57.0,J. Carter misses 2-pt layup from 2 ft,,77,65
4,9:57.0,Offensive rebound by J. Jackson,,77,65
4,9:51.0,J. Jackson makes 2-pt dunk from 1 ft,,79,65
4,9:43.0,,W. Matthews makes 2-pt jump shot from 9 ft,79,67
4,9:29.0,S. Mack misses 2-pt jump shot from 3 ft,,79,67
4,9:29.0,,Defensive rebound by L. Kornet,79,67
4,9:21.0,,Shooting foul by J. Jackson (drawn by K. Knox),79,67
4,9:21.0,,K. Knox makes free throw 1 of 2,79,68
4,9:21.0,M. Conley enters the game for J. Carter,,79,68
4,9:21.0,,D. Smith enters the game for K. Allen,79,68
4,9:21.0,,K. Knox makes free throw 2 of 2,79,69
4,8:57.0,Turnover by Team (shot clock),,79,69
4,8:42.0,,L. Kornet misses 3-pt jump shot from 25 ft,79,69
4,8:38.0,Defensive rebound by J. Holiday,,79,69
4,8:32.0,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),,81,69
4,8:14.0,,Personal foul by J. Jackson (drawn by L. Kornet),81,69
4,8:14.0,B. Caboclo enters the game for J. Jackson,,81,69
4,8:01.0,,M. Hezonja makes 2-pt jump shot from 4 ft,81,71
4,7:38.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Noah),,84,71
4,7:25.0,,Turnover by W. Matthews (lost ball; steal by S. Mack),84,71
4,7:04.0,S. Mack misses 2-pt jump shot from 11 ft,,84,71
4,7:02.0,,Defensive rebound by M. Hezonja,84,71
4,6:48.0,,K. Knox misses 3-pt jump shot from 25 ft,84,71
4,6:43.0,Defensive rebound by M. Conley,,84,71
4,6:38.0,M. Conley makes 2-pt jump shot from 15 ft,,86,71
4,6:38.0,,New York full timeout,86,71
4,6:38.0,J. Washburn enters the game for S. Mack,,86,71
4,6:38.0,,D. Jordan enters the game for L. Kornet,86,71
4,6:17.0,,Shooting foul by B. Caboclo (drawn by M. Hezonja),86,71
4,6:17.0,,M. Hezonja makes free throw 1 of 2,86,72
4,6:17.0,,M. Hezonja makes free throw 2 of 2,86,73
4,6:01.0,J. Holiday misses 2-pt jump shot from 22 ft,,86,73
4,5:58.0,Offensive rebound by Team,,86,73
4,5:48.0,Turnover by B. Caboclo (lost ball; steal by K. Knox),,86,73
4,5:44.0,,K. Knox makes 2-pt layup from 1 ft,86,75
4,5:22.0,Personal foul by D. Smith (drawn by M. Conley),,86,75
4,5:22.0,M. Gasol enters the game for J. Noah,,86,75
4,5:16.0,M. Conley misses 3-pt jump shot from 26 ft,,86,75
4,5:13.0,Offensive rebound by B. Caboclo,,86,75
4,5:10.0,J. Holiday misses 3-pt jump shot from 23 ft,,86,75
4,5:07.0,,Defensive rebound by D. Jordan,86,75
4,5:01.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by D. Smith),86,77
4,5:01.0,Memphis full timeout,,86,77
4,5:01.0,S. Mack enters the game for B. Caboclo,,86,77
4,4:39.0,M. Conley misses 3-pt jump shot from 30 ft,,86,77
4,4:37.0,,Defensive rebound by D. Smith,86,77
4,4:27.0,,D. Smith misses 2-pt layup from 1 ft,86,77
4,4:25.0,Defensive rebound by M. Gasol,,86,77
4,4:04.0,M. Gasol makes 2-pt jump shot from 11 ft (assist by M. Conley),,88,77
4,3:50.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Smith),88,80
4,3:22.0,M. Gasol makes 2-pt jump shot from 16 ft,,90,80
4,3:13.0,,W. Matthews misses 3-pt jump shot from 26 ft,90,80
4,3:10.0,Defensive rebound by J. Washburn,,90,80
4,2:55.0,M. Gasol misses 3-pt jump shot from 26 ft,,90,80
4,2:52.0,,Defensive rebound by D. Jordan,90,80
4,2:36.0,,M. Hezonja misses 3-pt jump shot from 26 ft,90,80
4,2:35.0,Defensive rebound by Team,,90,80
4,2:15.0,S. Mack makes 2-pt layup from 1 ft (assist by M. Gasol),,92,80
4,2:15.0,,New York full timeout,92,80
4,2:07.0,,D. Smith misses 2-pt layup from 3 ft (block by M. Conley),92,80
4,2:06.0,,Offensive rebound by Team,92,80
4,2:01.0,,K. Knox misses 3-pt jump shot from 26 ft,92,80
4,2:01.0,,Offensive rebound by M. Hezonja,92,80
4,2:01.0,,Personal foul by S. Mack (drawn by M. Hezonja),92,80
4,1:52.0,,D. Jordan makes 2-pt layup from 1 ft (assist by M. Hezonja),92,82
