QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
1,4:29.0,Defensive rebound by R. O'Neale,,10,10
1,4:23.0,J. Ingles misses 3-pt jump shot from 25 ft,,10,10
1,4:21.0,,Defensive rebound by D. DeRozan,10,10
1,4:06.0,,Turnover by M. Belinelli (bad pass),10,10
1,4:06.0,K. Korver enters the game for J. Ingles,,10,10
1,3:44.0,K. Korver makes 2-pt layup from 1 ft (assist by R. Gobert),,12,10
1,3:28.0,,D. DeRozan misses 2-pt layup from 7 ft (block by R. Gobert),12,10
1,3:26.0,Defensive rebound by R. Rubio,,12,10
1,3:20.0,K. Korver misses 2-pt jump shot from 22 ft,,12,10
1,3:18.0,Offensive rebound by J. Crowder,,12,10
1,3:16.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by J. Crowder),,15,10
1,2:52.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),15,13
1,2:51.0,Utah full timeout,,15,13
1,2:51.0,D. Exum enters the game for R. Gobert,,15,13
1,2:51.0,D. Favors enters the game for R. O'Neale,,15,13
1,2:51.0,D. Mitchell enters the game for R. Rubio,,15,13
1,2:51.0,,J. Poeltl enters the game for L. Aldridge,15,13
1,2:39.0,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Crowder),,18,13
1,2:26.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by C. Metu),18,16
1,2:12.0,Turnover by J. Crowder (traveling),,18,16
1,1:46.0,,P. Mills makes 2-pt jump shot from 17 ft,18,18
1,1:30.0,D. Mitchell misses 3-pt jump shot from 25 ft,,18,18
1,1:28.0,,Defensive rebound by J. Poeltl,18,18
1,1:14.0,,D. DeRozan misses 2-pt layup from 9 ft,18,18
1,1:11.0,Defensive rebound by D. Favors,,18,18
1,0:59.0,Turnover by D. Exum (bad pass; steal by M. Belinelli),,18,18
1,0:52.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by D. DeRozan),18,21
1,0:39.0,D. Mitchell misses 3-pt jump shot from 26 ft,,18,21
1,0:39.0,,Defensive rebound by C. Metu,18,21
1,0:29.0,,Shooting foul by D. Exum (drawn by D. DeRozan),18,21
1,0:29.0,,D. DeRozan makes free throw 1 of 2,18,22
1,0:29.0,J. Ingles enters the game for D. Exum,,18,22
1,0:29.0,,B. Forbes enters the game for C. Metu,18,22
1,0:29.0,,D. DeRozan makes free throw 2 of 2,18,23
1,0:08.0,D. Mitchell misses 3-pt jump shot from 25 ft,,18,23
1,0:04.0,Offensive rebound by D. Favors,,18,23
1,0:03.0,J. Crowder misses 3-pt jump shot from 26 ft,,18,23
1,0:00.0,,Defensive rebound by M. Belinelli,18,23
1,0:00.0,,M. Belinelli misses 3-pt jump shot from 59 ft,18,23
1,0:00.0,,Offensive rebound by Team,18,23
2,11:47.0,,P. Mills misses 3-pt jump shot from 25 ft,18,23
2,11:43.0,Defensive rebound by R. O'Neale,,18,23
2,11:22.0,J. Crowder misses 3-pt jump shot from 23 ft,,18,23
2,11:19.0,,Defensive rebound by B. Forbes,18,23
2,11:03.0,,B. Forbes makes 2-pt jump shot from 20 ft,18,25
2,10:44.0,J. Crowder misses 3-pt jump shot from 23 ft,,18,25
2,10:41.0,,Defensive rebound by B. Forbes,18,25
2,10:27.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by P. Mills),18,27
2,10:12.0,D. Favors misses 2-pt hook shot from 8 ft,,18,27
2,10:12.0,,Defensive rebound by Team,18,27
2,10:12.0,T. Sefolosha enters the game for J. Crowder,,18,27
2,9:59.0,,Shooting foul by T. Sefolosha (drawn by R. Gay),18,27
2,9:59.0,,R. Gay makes free throw 1 of 2,18,28
2,9:59.0,,D. White enters the game for P. Mills,18,28
2,9:59.0,,R. Gay misses free throw 2 of 2,18,28
2,9:57.0,Defensive rebound by D. Favors,,18,28
2,9:35.0,R. O'Neale misses 2-pt dunk from 1 ft,,18,28
2,9:32.0,,Defensive rebound by R. Gay,18,28
2,9:22.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by J. Poeltl),18,30
2,9:22.0,Utah full timeout,,18,30
2,9:15.0,Personal foul by M. Belinelli (drawn by K. Korver),,18,30
2,9:07.0,Turnover by R. O'Neale (lost ball; steal by D. White),,18,30
2,8:56.0,,M. Belinelli misses 3-pt jump shot from 25 ft,18,30
2,8:52.0,Defensive rebound by D. Mitchell,,18,30
2,8:47.0,K. Korver misses 3-pt jump shot from 23 ft,,18,30
2,8:45.0,,Defensive rebound by J. Poeltl,18,30
2,8:38.0,,R. Gay misses 2-pt jump shot from 10 ft,18,30
2,8:38.0,Defensive rebound by D. Mitchell,,18,30
2,8:19.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by R. O'Neale),,20,30
2,8:07.0,,B. Forbes misses 2-pt jump shot from 8 ft (block by D. Favors),20,30
2,8:07.0,,Offensive rebound by B. Forbes,20,30
2,8:04.0,,Turnover by B. Forbes (bad pass; steal by D. Mitchell),20,30
2,8:01.0,R. O'Neale makes 2-pt layup from 2 ft,,22,30
2,8:01.0,,San Antonio full timeout,22,30
2,8:01.0,R. Gobert enters the game for D. Favors,,22,30
2,8:01.0,J. Ingles enters the game for K. Korver,,22,30
2,8:01.0,R. Rubio enters the game for D. Mitchell,,22,30
2,8:01.0,,L. Aldridge enters the game for M. Belinelli,22,30
2,8:01.0,,D. DeRozan enters the game for J. Poeltl,22,30
2,7:49.0,,B. Forbes makes 2-pt jump shot from 12 ft (assist by D. White),22,32
2,7:37.0,Turnover by R. Rubio (palming),,22,32
2,7:20.0,,D. White misses 2-pt layup from 5 ft,22,32
2,7:17.0,,Offensive rebound by L. Aldridge,22,32
2,7:16.0,,Turnover by L. Aldridge (lost ball; steal by T. Sefolosha),22,32
2,7:10.0,T. Sefolosha makes 3-pt jump shot from 27 ft (assist by J. Ingles),,25,32
2,6:57.0,,Shooting foul by T. Sefolosha (drawn by D. DeRozan),25,32
2,6:57.0,,D. DeRozan makes free throw 1 of 2,25,33
2,6:57.0,,D. DeRozan makes free throw 2 of 2,25,34
2,6:46.0,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),,27,34
2,6:46.0,Shooting foul by B. Forbes (drawn by R. Gobert),,27,34
2,6:46.0,R. Gobert misses free throw 1 of 1,,27,34
2,6:46.0,,Defensive rebound by R. Gay,27,34
2,6:28.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. DeRozan),27,36
2,6:02.0,T. Sefolosha makes 2-pt jump shot from 20 ft (assist by R. Rubio),,29,36
2,5:43.0,,L. Aldridge makes 2-pt layup from 6 ft (assist by B. Forbes),29,38
2,5:22.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by J. Ingles),,32,38
2,5:09.0,,R. Gay misses 2-pt jump shot from 19 ft,32,38
2,5:06.0,Defensive rebound by R. Gobert,,32,38
2,4:58.0,Turnover by J. Ingles (lost ball; steal by D. DeRozan),,32,38
2,4:58.0,Loose ball foul by J. Ingles (drawn by D. DeRozan),,32,38
2,4:58.0,D. Mitchell enters the game for R. O'Neale,,32,38
2,4:58.0,,M. Belinelli enters the game for B. Forbes,32,38
2,4:58.0,,P. Mills enters the game for R. Gay,32,38
2,4:43.0,,L. Aldridge makes 2-pt jump shot from 19 ft,32,40
2,4:29.0,T. Sefolosha makes 2-pt jump shot from 18 ft (assist by R. Gobert),,34,40
2,4:12.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by P. Mills),34,42
2,3:44.0,Turnover by Team (shot clock),,34,42
2,3:35.0,,P. Mills misses 2-pt jump shot from 17 ft,34,42
2,3:32.0,,Offensive rebound by P. Mills,34,42
2,3:31.0,,M. Belinelli misses 3-pt jump shot from 25 ft,34,42
2,3:27.0,Defensive rebound by T. Sefolosha,,34,42
2,3:18.0,R. Rubio makes 2-pt layup from 1 ft (assist by T. Sefolosha),,36,42
2,3:08.0,,D. White makes 2-pt dunk from 1 ft (assist by D. DeRozan),36,44
2,2:49.0,D. Mitchell misses 2-pt jump shot from 13 ft,,36,44
2,2:49.0,,Defensive rebound by D. DeRozan,36,44
2,2:43.0,,Personal foul by D. Mitchell (drawn by L. Aldridge),36,44
2,2:43.0,J. Crowder enters the game for J. Ingles,,36,44
2,2:43.0,R. O'Neale enters the game for T. Sefolosha,,36,44
2,2:37.0,,P. Mills misses 2-pt jump shot from 19 ft,36,44
2,2:34.0,Defensive rebound by D. Mitchell,,36,44
2,2:29.0,J. Crowder misses 3-pt jump shot from 26 ft,,36,44
2,2:29.0,,Defensive rebound by M. Belinelli,36,44
2,2:20.0,,L. Aldridge makes 2-pt jump shot from 15 ft (assist by M. Belinelli),36,46
2,1:58.0,R. Rubio misses 2-pt jump shot from 13 ft,,36,46
2,1:58.0,,Defensive rebound by D. DeRozan,36,46
2,1:47.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),36,48
2,1:27.0,R. O'Neale misses 2-pt layup from 8 ft (block by L. Aldridge),,36,48
2,1:23.0,,Defensive rebound by D. DeRozan,36,48
2,1:19.0,,Personal foul by R. Rubio (drawn by D. DeRozan),36,48
2,1:19.0,,D. DeRozan makes free throw 1 of 2,36,49
2,1:19.0,J. Ingles enters the game for J. Crowder,,36,49
2,1:19.0,,D. DeRozan makes free throw 2 of 2,36,50
2,1:04.0,R. O'Neale misses 2-pt layup from 8 ft (block by M. Belinelli),,36,50
2,1:04.0,Offensive rebound by Team,,36,50
2,0:55.0,R. O'Neale misses 2-pt jump shot from 10 ft,,36,50
2,0:53.0,Offensive rebound by R. O'Neale,,36,50
2,0:44.0,R. Rubio misses 2-pt jump shot from 13 ft,,36,50
2,0:42.0,,Defensive rebound by L. Aldridge,36,50
2,0:32.0,,D. DeRozan makes 2-pt jump shot from 17 ft,36,52
2,0:14.0,D. Mitchell misses 2-pt layup from 3 ft (block by L. Aldridge),,36,52
2,0:14.0,Offensive rebound by Team,,36,52
2,0:06.0,J. Ingles misses 2-pt jump shot from 11 ft,,36,52
2,0:06.0,,Defensive rebound by D. White,36,52
2,0:00.0,,D. DeRozan makes 2-pt layup from 2 ft,36,54
3,11:43.0,,L. Aldridge misses 2-pt jump shot from 19 ft,36,54
3,11:40.0,Defensive rebound by D. Mitchell,,36,54
3,11:35.0,D. Mitchell makes 3-pt jump shot from 26 ft,,39,54
3,11:19.0,,B. Forbes makes 2-pt layup from 5 ft (assist by R. Gay),39,56
3,11:04.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by R. Gobert),,42,56
3,10:55.0,Violation by Team (kicked ball),,42,56
3,10:49.0,,B. Forbes makes 2-pt jump shot from 19 ft,42,58
3,10:36.0,R. Gobert misses 2-pt layup from 2 ft,,42,58
3,10:33.0,,Defensive rebound by R. Gay,42,58
3,10:21.0,,B. Forbes makes 2-pt jump shot from 20 ft (assist by L. Aldridge),42,60
3,10:07.0,D. Mitchell misses 2-pt jump shot from 17 ft,,42,60
3,10:04.0,,Defensive rebound by R. Gay,42,60
3,9:59.0,,R. Gay makes 2-pt layup from 1 ft,42,62
3,9:59.0,,Shooting foul by D. Favors (drawn by R. Gay),42,62
3,9:59.0,,R. Gay makes free throw 1 of 1,42,63
3,9:47.0,D. Mitchell makes 2-pt jump shot from 9 ft (assist by R. Gobert),,44,63
3,9:47.0,Shooting foul by L. Aldridge (drawn by D. Mitchell),,44,63
3,9:47.0,D. Mitchell makes free throw 1 of 1,,45,63
3,9:29.0,,Turnover by R. Gay (lost ball; steal by D. Favors),45,63
3,9:24.0,R. Rubio makes 3-pt jump shot from 24 ft (assist by J. Ingles),,48,63
3,9:23.0,,San Antonio full timeout,48,63
3,9:06.0,,R. Gay makes 2-pt dunk at rim (assist by B. Forbes),48,65
3,8:53.0,Shooting foul by B. Forbes (drawn by D. Mitchell),,48,65
3,8:53.0,D. Mitchell misses free throw 1 of 2,,48,65
3,8:53.0,Offensive rebound by Team,,48,65
3,8:53.0,D. Mitchell makes free throw 2 of 2,,49,65
3,8:41.0,,Turnover by D. White (bad pass; steal by R. Gobert),49,65
3,8:32.0,R. Rubio misses 2-pt layup from 1 ft,,49,65
3,8:28.0,,Defensive rebound by R. Gay,49,65
3,8:13.0,,D. DeRozan misses 2-pt jump shot from 12 ft (block by D. Mitchell),49,65
3,8:09.0,Defensive rebound by J. Ingles,,49,65
3,8:06.0,Shooting foul by D. DeRozan (drawn by D. Mitchell),,49,65
3,8:06.0,D. Mitchell makes free throw 1 of 3,,50,65
3,8:06.0,D. Mitchell makes free throw 2 of 3,,51,65
3,8:06.0,D. Mitchell makes free throw 3 of 3,,52,65
3,7:53.0,,Personal foul by J. Ingles (drawn by D. DeRozan),52,65
3,7:53.0,,P. Mills enters the game for D. White,52,65
3,7:43.0,,L. Aldridge makes 2-pt hook shot from 7 ft (assist by D. DeRozan),52,67
3,7:32.0,D. Mitchell makes 3-pt jump shot from 25 ft,,55,67
3,7:14.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by B. Forbes),55,70
3,6:58.0,R. Gobert misses 2-pt layup from 2 ft (block by L. Aldridge),,55,70
3,6:58.0,Offensive rebound by Team,,55,70
3,6:58.0,J. Crowder enters the game for D. Favors,,55,70
3,6:58.0,R. O'Neale enters the game for J. Ingles,,55,70
3,6:45.0,Turnover by Team (shot clock),,55,70
3,6:36.0,,D. DeRozan makes 2-pt jump shot from 21 ft,55,72
3,6:14.0,D. Mitchell misses 2-pt jump shot from 9 ft,,55,72
3,6:11.0,Offensive rebound by R. Gobert,,55,72
3,6:09.0,R. Gobert misses 2-pt layup from 3 ft (block by D. DeRozan),,55,72
3,6:09.0,,Defensive rebound by B. Forbes,55,72
3,6:06.0,,Turnover by P. Mills (traveling),55,72
3,5:52.0,R. Gobert makes 2-pt layup from 1 ft,,57,72
3,5:52.0,Shooting foul by L. Aldridge (drawn by R. Gobert),,57,72
3,5:52.0,R. Gobert makes free throw 1 of 1,,58,72
3,5:45.0,,Personal foul by R. O'Neale (drawn by D. DeRozan),58,72
3,5:38.0,,Turnover by L. Aldridge (traveling),58,72
3,5:25.0,D. Mitchell misses 2-pt jump shot from 18 ft,,58,72
3,5:21.0,Offensive rebound by R. Gobert,,58,72
3,5:11.0,R. Rubio misses 3-pt jump shot from 26 ft,,58,72
3,5:08.0,,Defensive rebound by R. Gay,58,72
3,5:01.0,,L. Aldridge misses 2-pt hook shot from 6 ft,58,72
3,4:56.0,,Offensive rebound by R. Gay,58,72
3,4:56.0,,R. Gay makes 2-pt layup from 1 ft,58,74
3,4:42.0,R. Rubio makes 2-pt jump shot from 11 ft (assist by R. Gobert),,60,74
3,4:28.0,,P. Mills misses 2-pt layup from 1 ft,60,74
3,4:28.0,Defensive rebound by Team,,60,74
3,4:28.0,,Loose ball foul by L. Aldridge (drawn by D. Mitchell),60,74
3,4:28.0,,M. Belinelli enters the game for L. Aldridge,60,74
3,4:28.0,,J. Poeltl enters the game for B. Forbes,60,74
3,4:28.0,D. Mitchell makes free throw 1 of 2,,61,74
3,4:28.0,D. Favors enters the game for R. Gobert,,61,74
3,4:28.0,D. Mitchell misses free throw 2 of 2,,61,74
3,4:25.0,Offensive rebound by J. Crowder,,61,74
3,4:24.0,J. Crowder misses 2-pt layup from 1 ft,,61,74
3,4:22.0,,Defensive rebound by R. Gay,61,74
3,4:07.0,,M. Belinelli makes 2-pt jump shot from 8 ft (assist by D. DeRozan),61,76
3,3:47.0,R. Rubio makes 2-pt jump shot from 13 ft,,63,76
3,3:47.0,Shooting foul by M. Belinelli (drawn by R. Rubio),,63,76
3,3:47.0,J. Ingles enters the game for J. Crowder,,63,76
3,3:47.0,T. Sefolosha enters the game for D. Mitchell,,63,76
3,3:47.0,,C. Metu enters the game for R. Gay,63,76
3,3:47.0,R. Rubio makes free throw 1 of 1,,64,76
3,3:37.0,,D. DeRozan makes 2-pt jump shot from 13 ft,64,78
3,3:21.0,R. Rubio misses 2-pt layup at rim,,64,78
3,3:21.0,Offensive rebound by D. Favors,,64,78
3,3:18.0,D. Favors makes 2-pt layup at rim,,66,78
3,3:07.0,,D. DeRozan misses 2-pt jump shot from 10 ft,66,78
3,3:07.0,Defensive rebound by J. Ingles,,66,78
3,2:51.0,R. Rubio makes 2-pt layup from 1 ft,,68,78
3,2:27.0,,M. Belinelli misses 2-pt jump shot from 19 ft,68,78
3,2:25.0,,Offensive rebound by J. Poeltl,68,78
3,2:14.0,,D. DeRozan makes 2-pt jump shot from 9 ft,68,80
3,2:12.0,Utah full timeout,,68,80
3,2:12.0,R. Neto enters the game for R. Rubio,,68,80
3,2:12.0,,B. Forbes enters the game for C. Metu,68,80
3,2:01.0,Shooting foul by P. Mills (drawn by R. Neto),,68,80
3,2:01.0,R. Neto makes free throw 1 of 2,,69,80
3,2:01.0,K. Korver enters the game for R. O'Neale,,69,80
3,2:01.0,R. Neto makes free throw 2 of 2,,70,80
3,1:46.0,,D. DeRozan misses 2-pt layup from 1 ft,70,80
3,1:44.0,Defensive rebound by D. Favors,,70,80
3,1:26.0,K. Korver misses 3-pt jump shot from 26 ft,,70,80
3,1:23.0,,Defensive rebound by P. Mills,70,80
3,1:10.0,,D. DeRozan makes 2-pt jump shot from 6 ft,70,82
3,0:56.0,R. Neto makes 2-pt layup from 1 ft (assist by D. Favors),,72,82
3,0:37.0,,D. DeRozan misses 2-pt jump shot from 20 ft,72,82
3,0:33.0,,Offensive rebound by J. Poeltl,72,82
3,0:18.0,,D. DeRozan misses 2-pt layup from 6 ft,72,82
3,0:16.0,Defensive rebound by D. Favors,,72,82
3,0:00.0,J. Ingles misses 3-pt jump shot from 26 ft,,72,82
3,0:00.0,Offensive rebound by Team,,72,82
4,11:47.0,Personal foul by R. Gay (drawn by K. Korver),,72,82
4,11:41.0,D. Mitchell makes 2-pt jump shot from 16 ft,,74,82
4,11:24.0,,Turnover by P. Mills (lost ball; steal by R. Neto),74,82
4,11:20.0,D. Mitchell makes 2-pt layup from 6 ft (assist by R. Neto),,76,82
4,11:00.0,,R. Gay makes 2-pt jump shot from 17 ft,76,84
4,10:42.0,Turnover by R. Gobert (bad pass; steal by R. Gay),,76,84
4,10:35.0,,Turnover by R. Gay (bad pass; steal by T. Sefolosha),76,84
4,10:30.0,R. Gobert makes 2-pt dunk from 3 ft (assist by T. Sefolosha),,78,84
4,10:26.0,,Shooting foul by R. Neto (drawn by B. Forbes),78,84
4,10:26.0,,L. Aldridge enters the game for P. Mills,78,84
4,10:26.0,,D. White enters the game for J. Poeltl,78,84
4,10:26.0,,B. Forbes makes free throw 1 of 2,78,85
4,10:26.0,,B. Forbes makes free throw 2 of 2,78,86
4,10:15.0,D. Mitchell makes 3-pt jump shot from 25 ft,,81,86
4,9:49.0,,R. Gay makes 2-pt jump shot from 16 ft,81,88
4,9:33.0,D. Mitchell makes 2-pt jump shot from 16 ft,,83,88
4,9:11.0,,R. Gay makes 2-pt jump shot from 11 ft (assist by M. Belinelli),83,90
4,8:56.0,Turnover by D. Mitchell (bad pass),,83,90
4,8:56.0,Loose ball foul by K. Korver (drawn by B. Forbes),,83,90
4,8:56.0,J. Crowder enters the game for R. Neto,,83,90
4,8:56.0,R. Rubio enters the game for T. Sefolosha,,83,90
4,8:39.0,,D. White makes 2-pt dunk from 1 ft (assist by R. Gay),83,92
4,8:23.0,K. Korver misses 2-pt layup from 1 ft,,83,92
4,8:21.0,,Defensive rebound by L. Aldridge,83,92
4,8:13.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by M. Belinelli),83,94
4,8:13.0,Utah full timeout,,83,94
4,8:03.0,D. Mitchell misses 2-pt jump shot from 18 ft,,83,94
4,8:00.0,,Defensive rebound by R. Gay,83,94
4,7:48.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. White),83,97
4,7:30.0,R. Rubio makes 2-pt jump shot from 19 ft (assist by D. Mitchell),,85,97
4,7:07.0,,M. Belinelli misses 3-pt jump shot from 23 ft,85,97
4,7:05.0,Defensive rebound by Team,,85,97
4,7:05.0,J. Ingles enters the game for K. Korver,,85,97
4,7:05.0,R. O'Neale enters the game for D. Mitchell,,85,97
4,6:54.0,R. Rubio makes 2-pt jump shot from 17 ft (assist by R. Gobert),,87,97
4,6:34.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. White),87,99
4,6:34.0,D. Favors enters the game for R. Gobert,,87,99
4,6:34.0,,D. DeRozan enters the game for M. Belinelli,87,99
4,6:29.0,Turnover by J. Crowder (offensive foul),,87,99
4,6:29.0,Offensive foul by J. Crowder (drawn by D. White),,87,99
4,6:15.0,,Turnover by R. Gay (bad pass; steal by D. Favors),87,99
4,6:11.0,J. Crowder makes 2-pt layup from 1 ft,,89,99
4,5:48.0,,L. Aldridge misses 2-pt layup from 5 ft,89,99
4,5:48.0,Defensive rebound by Team,,89,99
4,5:48.0,,Loose ball foul by L. Aldridge (drawn by J. Crowder),89,99
4,5:48.0,,J. Poeltl enters the game for L. Aldridge,89,99
4,5:36.0,Turnover by D. Favors (bad pass),,89,99
4,5:22.0,,D. DeRozan misses 2-pt jump shot from 17 ft,89,99
4,5:19.0,Defensive rebound by J. Ingles,,89,99
4,5:13.0,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),,91,99
4,5:12.0,,San Antonio full timeout,91,99
4,5:12.0,D. Mitchell enters the game for J. Ingles,,91,99
4,5:12.0,,P. Mills enters the game for B. Forbes,91,99
4,4:59.0,,D. White misses 2-pt layup at rim,91,99
4,4:54.0,,Offensive rebound by J. Poeltl,91,99
4,4:54.0,,J. Poeltl misses 2-pt layup from 2 ft,91,99
4,4:54.0,,Offensive rebound by R. Gay,91,99
4,4:53.0,,R. Gay makes 2-pt jump shot from 11 ft,91,101
4,4:30.0,D. Mitchell misses 2-pt jump shot from 12 ft (block by R. Gay),,91,101
4,4:30.0,Offensive rebound by D. Mitchell,,91,101
4,4:26.0,D. Mitchell misses 3-pt jump shot from 29 ft,,91,101
4,4:26.0,,Defensive rebound by Team,91,101
4,4:14.0,,J. Poeltl misses 2-pt layup from 1 ft,91,101
4,4:14.0,Defensive rebound by J. Crowder,,91,101
4,4:03.0,Turnover by D. Mitchell (traveling),,91,101
4,4:03.0,R. Gobert enters the game for D. Favors,,91,101
4,3:47.0,,R. Gay misses 2-pt jump shot from 11 ft,91,101
4,3:44.0,Defensive rebound by R. O'Neale,,91,101
4,3:38.0,R. Rubio misses 3-pt jump shot from 23 ft,,91,101
4,3:34.0,,Defensive rebound by R. Gay,91,101
4,3:31.0,,San Antonio full timeout,91,101
4,3:23.0,,D. DeRozan misses 2-pt jump shot from 14 ft,91,101
4,3:21.0,,Offensive rebound by J. Poeltl,91,101
4,3:20.0,,R. Gay makes 2-pt dunk at rim (assist by J. Poeltl),91,103
4,3:20.0,,Shooting foul by D. Mitchell (drawn by R. Gay),91,103
4,3:20.0,,R. Gay makes free throw 1 of 1,91,104
4,3:11.0,D. Mitchell misses 3-pt jump shot from 27 ft,,91,104
4,3:11.0,,Defensive rebound by D. White,91,104
4,2:57.0,,D. White makes 2-pt jump shot from 7 ft,91,106
4,2:57.0,Utah full timeout,,91,106
4,2:57.0,J. Ingles enters the game for J. Crowder,,91,106
4,2:48.0,Shooting foul by D. DeRozan (drawn by D. Mitchell),,91,106
4,2:48.0,D. Mitchell makes free throw 1 of 2,,92,106
4,2:48.0,D. Mitchell makes free throw 2 of 2,,93,106
4,2:33.0,,D. DeRozan misses 2-pt jump shot from 19 ft,93,106
