QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CLEVELAND_ACTION,LA LAKERS_SCORE,CLEVELAND_SCORE
1,5:50.0,,J. Clarkson makes 3-pt jump shot from 26 ft (assist by C. Osman),15,14
1,5:40.0,Personal foul by J. Clarkson (drawn by B. Ingram),,15,14
1,5:28.0,B. Ingram makes 2-pt layup from 2 ft,,17,14
1,5:15.0,,C. Sexton makes 2-pt jump shot from 20 ft (assist by J. Clarkson),17,16
1,5:09.0,Turnover by L. James (bad pass),,17,16
1,4:51.0,,D. Nwaba misses 3-pt jump shot from 24 ft,17,16
1,4:51.0,Defensive rebound by L. Ball,,17,16
1,4:51.0,Turnover by L. Ball (bad pass),,17,16
1,4:51.0,T. Chandler enters the game for K. Kuzma,,17,16
1,4:51.0,J. Hart enters the game for J. McGee,,17,16
1,4:33.0,,T. Thompson misses 2-pt layup from 1 ft (block by J. Hart),17,16
1,4:25.0,,Offensive rebound by T. Thompson,17,16
1,4:25.0,,T. Thompson misses 2-pt layup from 1 ft (block by J. Hart),17,16
1,4:17.0,Defensive rebound by T. Chandler,,17,16
1,4:12.0,L. Ball misses 3-pt jump shot from 27 ft,,17,16
1,4:09.0,,Defensive rebound by C. Osman,17,16
1,4:02.0,,D. Nwaba misses 3-pt jump shot from 25 ft,17,16
1,4:00.0,Defensive rebound by L. James,,17,16
1,3:54.0,Offensive foul by L. James (drawn by D. Nwaba),,17,16
1,3:54.0,Turnover by L. James (offensive foul),,17,16
1,3:54.0,K. Caldwell-Pope enters the game for B. Ingram,,17,16
1,3:54.0,,R. Hood enters the game for D. Nwaba,17,16
1,3:42.0,,J. Clarkson misses 2-pt jump shot from 14 ft,17,16
1,3:39.0,Defensive rebound by J. Hart,,17,16
1,3:32.0,L. James misses 2-pt layup from 3 ft (block by R. Hood),,17,16
1,3:32.0,Offensive rebound by L. James,,17,16
1,3:26.0,J. Hart misses 3-pt jump shot from 26 ft,,17,16
1,3:24.0,,Defensive rebound by T. Thompson,17,16
1,3:16.0,,J. Clarkson misses 2-pt layup from 4 ft,17,16
1,3:14.0,,Offensive rebound by T. Thompson,17,16
1,3:11.0,,T. Thompson makes 2-pt hook shot from 9 ft,17,18
1,3:03.0,LA Lakers full timeout,,17,18
1,3:03.0,L. Stephenson enters the game for L. James,,17,18
1,3:03.0,,L. Nance enters the game for T. Thompson,17,18
1,2:51.0,L. Stephenson misses 3-pt jump shot from 27 ft,,17,18
1,2:48.0,,Defensive rebound by C. Osman,17,18
1,2:33.0,,R. Hood misses 2-pt jump shot from 19 ft,17,18
1,2:30.0,Defensive rebound by L. Ball,,17,18
1,2:23.0,L. Ball misses 2-pt jump shot from 10 ft,,17,18
1,2:20.0,Offensive rebound by L. Ball,,17,18
1,2:15.0,L. Ball makes 2-pt layup from 5 ft,,19,18
1,2:02.0,,L. Nance makes 2-pt layup from 1 ft (assist by J. Clarkson),19,20
1,1:45.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,22,20
1,1:28.0,,J. Clarkson misses 2-pt jump shot from 17 ft (block by J. Hart),22,20
1,1:26.0,Defensive rebound by K. Caldwell-Pope,,22,20
1,1:16.0,Turnover by J. Hart (lost ball; steal by L. Nance),,22,20
1,1:11.0,,C. Sexton makes 2-pt layup at rim (assist by L. Nance),22,22
1,1:00.0,J. Hart misses 3-pt jump shot from 27 ft,,22,22
1,1:00.0,,Defensive rebound by L. Nance,22,22
1,0:51.0,,L. Nance makes 2-pt layup from 1 ft,22,24
1,0:51.0,,Shooting foul by T. Chandler (drawn by L. Nance),22,24
1,0:51.0,B. Ingram enters the game for L. Ball,,22,24
1,0:51.0,,A. Harrison enters the game for C. Osman,22,24
1,0:51.0,,K. Korver enters the game for C. Sexton,22,24
1,0:51.0,,L. Nance makes free throw 1 of 1,22,25
1,0:30.0,L. Stephenson misses 2-pt jump shot from 7 ft,,22,25
1,0:30.0,Offensive rebound by Team,,22,25
1,0:30.0,Personal foul by J. Clarkson (drawn by T. Chandler),,22,25
1,0:30.0,T. Chandler makes free throw 1 of 2,,23,25
1,0:30.0,T. Chandler makes free throw 2 of 2,,24,25
1,0:16.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by A. Harrison),24,28
1,0:01.0,B. Ingram misses 2-pt jump shot from 5 ft,,24,28
1,0:01.0,,Defensive rebound by L. Nance,24,28
2,11:43.0,,K. Korver misses 3-pt jump shot from 23 ft,24,28
2,11:39.0,Defensive rebound by J. Hart,,24,28
2,11:35.0,Offensive foul by K. Caldwell-Pope (drawn by R. Hood),,24,28
2,11:35.0,Turnover by K. Caldwell-Pope (offensive foul),,24,28
2,11:16.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by L. Nance),24,31
2,11:09.0,Turnover by B. Ingram (step out of bounds),,24,31
2,11:05.0,,J. Clarkson misses 3-pt jump shot from 25 ft,24,31
2,11:02.0,Defensive rebound by K. Caldwell-Pope,,24,31
2,10:44.0,T. Chandler misses 2-pt layup from 4 ft,,24,31
2,10:39.0,Offensive rebound by T. Chandler,,24,31
2,10:39.0,T. Chandler misses 2-pt layup at rim,,24,31
2,10:37.0,Offensive rebound by T. Chandler,,24,31
2,10:37.0,T. Chandler makes 2-pt layup at rim,,26,31
2,10:26.0,,L. Nance misses 2-pt jump shot from 18 ft,26,31
2,10:24.0,Defensive rebound by J. Hart,,26,31
2,10:16.0,L. Stephenson misses 2-pt jump shot from 18 ft,,26,31
2,10:13.0,,Defensive rebound by R. Hood,26,31
2,10:05.0,,R. Hood makes 2-pt jump shot from 15 ft,26,33
2,9:53.0,Offensive foul by B. Ingram (drawn by A. Harrison),,26,33
2,9:53.0,Turnover by B. Ingram (offensive foul),,26,33
2,9:53.0,,C. Osman enters the game for J. Clarkson,26,33
2,9:35.0,,R. Hood makes 2-pt jump shot from 20 ft (assist by L. Nance),26,35
2,9:18.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,26,35
2,9:14.0,,Defensive rebound by L. Nance,26,35
2,8:52.0,,R. Hood misses 3-pt jump shot from 29 ft,26,35
2,8:49.0,Defensive rebound by B. Ingram,,26,35
2,8:39.0,L. Stephenson misses 3-pt jump shot from 26 ft,,26,35
2,8:35.0,,Defensive rebound by R. Hood,26,35
2,8:28.0,,L. Nance misses 3-pt jump shot from 25 ft,26,35
2,8:25.0,Defensive rebound by L. Stephenson,,26,35
2,8:20.0,LA Lakers full timeout,,26,35
2,8:20.0,L. Ball enters the game for T. Chandler,,26,35
2,8:20.0,L. James enters the game for J. Hart,,26,35
2,8:20.0,K. Kuzma enters the game for B. Ingram,,26,35
2,8:20.0,J. McGee enters the game for L. Stephenson,,26,35
2,8:20.0,,T. Thompson enters the game for L. Nance,26,35
2,8:16.0,,Violation by Team (kicked ball),26,35
2,8:10.0,K. Kuzma misses 3-pt jump shot from 25 ft,,26,35
2,8:06.0,,Defensive rebound by K. Korver,26,35
2,7:59.0,,Personal foul by K. Kuzma (drawn by C. Osman),26,35
2,7:53.0,,Shooting foul by L. Ball (drawn by A. Harrison),26,35
2,7:53.0,,A. Harrison makes free throw 1 of 2,26,36
2,7:53.0,,A. Harrison makes free throw 2 of 2,26,37
2,7:28.0,L. James makes 3-pt jump shot from 29 ft,,29,37
2,7:02.0,,A. Harrison misses 3-pt jump shot from 24 ft,29,37
2,6:59.0,Defensive rebound by L. Ball,,29,37
2,6:53.0,J. McGee makes 2-pt dunk at rim (assist by L. James),,31,37
2,6:46.0,,Cleveland full timeout,31,37
2,6:46.0,,C. Sexton enters the game for A. Harrison,31,37
2,6:31.0,,R. Hood misses 2-pt jump shot from 14 ft,31,37
2,6:28.0,Defensive rebound by L. James,,31,37
2,6:22.0,L. James makes 2-pt layup from 3 ft,,33,37
2,6:15.0,,C. Sexton misses 2-pt jump shot from 7 ft,33,37
2,6:15.0,Defensive rebound by Team,,33,37
2,6:15.0,,Loose ball foul by T. Thompson (drawn by L. James),33,37
2,6:15.0,,D. Nwaba enters the game for K. Korver,33,37
2,6:01.0,L. Ball makes 2-pt layup from 2 ft,,35,37
2,5:37.0,,C. Sexton misses 2-pt jump shot from 21 ft,35,37
2,5:34.0,Defensive rebound by K. Kuzma,,35,37
2,5:26.0,Personal foul by R. Hood (drawn by K. Kuzma),,35,37
2,5:21.0,K. Kuzma misses 3-pt jump shot from 24 ft,,35,37
2,5:17.0,,Defensive rebound by T. Thompson,35,37
2,4:58.0,,T. Thompson misses 2-pt hook shot from 6 ft,35,37
2,4:57.0,Defensive rebound by L. James,,35,37
2,4:49.0,L. James makes 2-pt layup from 1 ft,,37,37
2,4:20.0,,T. Thompson misses 2-pt jump shot from 17 ft,37,37
2,4:18.0,Defensive rebound by K. Kuzma,,37,37
2,4:10.0,K. Kuzma misses 2-pt jump shot from 11 ft,,37,37
2,4:09.0,,Defensive rebound by D. Nwaba,37,37
2,3:48.0,,C. Osman makes 2-pt layup from 1 ft,37,39
2,3:35.0,K. Kuzma misses 2-pt layup from 4 ft (block by C. Osman),,37,39
2,3:32.0,,Defensive rebound by C. Osman,37,39
2,3:32.0,,Shooting foul by J. McGee (drawn by C. Osman),37,39
2,3:32.0,,C. Osman makes free throw 1 of 2,37,40
2,3:32.0,B. Ingram enters the game for K. Caldwell-Pope,,37,40
2,3:32.0,,C. Osman makes free throw 2 of 2,37,41
2,3:21.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,39,41
2,2:54.0,,R. Hood makes 2-pt hook shot from 8 ft,39,43
2,2:40.0,J. McGee makes 2-pt hook shot from 5 ft (assist by B. Ingram),,41,43
2,2:27.0,,C. Sexton misses 2-pt layup from 2 ft (block by J. McGee),41,43
2,2:20.0,,Offensive rebound by T. Thompson,41,43
2,2:20.0,,T. Thompson makes 2-pt layup from 1 ft,41,45
2,2:16.0,K. Kuzma misses 3-pt jump shot from 23 ft,,41,45
2,2:14.0,,Defensive rebound by R. Hood,41,45
2,2:09.0,,Personal foul by J. McGee (drawn by R. Hood),41,45
2,2:09.0,T. Chandler enters the game for K. Kuzma,,41,45
2,2:09.0,J. Hart enters the game for J. McGee,,41,45
2,1:52.0,,T. Thompson makes 2-pt jump shot from 9 ft (assist by C. Osman),41,47
2,1:31.0,L. James makes 2-pt jump shot from 20 ft (assist by L. Ball),,43,47
2,1:12.0,,C. Osman makes 3-pt jump shot from 26 ft,43,50
2,0:59.0,L. James makes 2-pt dunk from 1 ft,,45,50
2,0:42.0,,C. Sexton makes 2-pt jump shot from 16 ft,45,52
2,0:29.0,L. Ball makes 3-pt jump shot from 26 ft (assist by L. James),,48,52
2,0:06.0,,C. Sexton misses 2-pt jump shot from 16 ft,48,52
2,0:03.0,Defensive rebound by L. James,,48,52
2,0:01.0,Shooting foul by D. Nwaba (drawn by L. James),,48,52
2,0:01.0,L. James makes free throw 1 of 2,,49,52
2,0:01.0,L. Stephenson enters the game for L. Ball,,49,52
2,0:01.0,L. James misses free throw 2 of 2,,49,52
2,0:01.0,,Defensive rebound by T. Thompson,49,52
3,11:40.0,,D. Nwaba misses 3-pt jump shot from 24 ft,49,52
3,11:35.0,Defensive rebound by J. McGee,,49,52
3,11:18.0,L. Ball makes 2-pt dunk at rim,,51,52
3,11:04.0,,R. Hood misses 2-pt jump shot from 18 ft,51,52
3,11:01.0,,Offensive rebound by D. Nwaba,51,52
3,10:50.0,,D. Nwaba makes 2-pt jump shot from 10 ft,51,54
3,10:50.0,,Shooting foul by B. Ingram (drawn by D. Nwaba),51,54
3,10:50.0,,D. Nwaba misses free throw 1 of 1,51,54
3,10:50.0,,Offensive rebound by T. Thompson,51,54
3,10:50.0,,T. Thompson makes 2-pt layup at rim,51,56
3,10:38.0,Turnover by L. James (bad pass; steal by D. Nwaba),,51,56
3,10:30.0,,C. Osman misses 2-pt jump shot from 19 ft,51,56
3,10:27.0,Defensive rebound by K. Kuzma,,51,56
3,10:23.0,J. McGee makes 2-pt dunk at rim (assist by L. Ball),,53,56
3,9:56.0,,T. Thompson makes 2-pt jump shot from 19 ft (assist by D. Nwaba),53,58
3,9:46.0,L. James misses 3-pt jump shot from 26 ft,,53,58
3,9:44.0,,Defensive rebound by T. Thompson,53,58
3,9:36.0,,C. Sexton misses 2-pt layup from 4 ft,53,58
3,9:31.0,,Offensive rebound by T. Thompson,53,58
3,9:31.0,,T. Thompson misses 2-pt dunk at rim,53,58
3,9:31.0,,Offensive rebound by C. Sexton,53,58
3,9:29.0,,C. Sexton misses 2-pt layup at rim,53,58
3,9:29.0,,Offensive rebound by T. Thompson,53,58
3,9:29.0,,Turnover by D. Nwaba (traveling),53,58
3,9:15.0,Def 3 sec tech foul by Team,,53,58
3,9:15.0,K. Kuzma makes technical free throw,,54,58
3,9:08.0,Turnover by L. James (bad pass; steal by R. Hood),,54,58
3,9:07.0,,Shooting foul by L. James (drawn by D. Nwaba),54,58
3,9:07.0,,D. Nwaba makes free throw 1 of 2,54,59
3,9:07.0,,D. Nwaba makes free throw 2 of 2,54,60
3,8:49.0,B. Ingram misses 2-pt jump shot from 17 ft,,54,60
3,8:41.0,B. Ingram makes 2-pt layup from 1 ft,,56,60
3,8:41.0,Offensive rebound by B. Ingram,,56,60
3,8:21.0,,T. Thompson misses 2-pt layup from 3 ft,56,60
3,8:19.0,Defensive rebound by L. Ball,,56,60
3,8:06.0,L. James makes 2-pt layup from 1 ft,,58,60
3,7:45.0,,R. Hood makes 2-pt jump shot from 16 ft,58,62
3,7:45.0,,Shooting foul by B. Ingram (drawn by R. Hood),58,62
3,7:45.0,,R. Hood makes free throw 1 of 1,58,63
3,7:25.0,Shooting foul by D. Nwaba (drawn by L. James),,58,63
3,7:25.0,L. James makes free throw 1 of 2,,59,63
3,7:25.0,L. James misses free throw 2 of 2,,59,63
3,7:22.0,,Defensive rebound by D. Nwaba,59,63
3,7:06.0,,C. Sexton misses 2-pt jump shot from 20 ft,59,63
3,7:04.0,Defensive rebound by L. James,,59,63
3,6:59.0,L. Ball makes 2-pt layup at rim (assist by L. James),,61,63
3,6:46.0,,C. Sexton misses 2-pt layup from 1 ft (block by K. Kuzma),61,63
3,6:44.0,,Offensive rebound by C. Osman,61,63
3,6:42.0,,C. Osman misses 2-pt layup from 2 ft,61,63
3,6:42.0,,Offensive rebound by T. Thompson,61,63
3,6:38.0,,T. Thompson misses 2-pt layup at rim,61,63
3,6:38.0,Defensive rebound by J. McGee,,61,63
3,6:38.0,L. Ball makes 2-pt layup from 1 ft (assist by J. McGee),,63,63
3,6:38.0,Shooting foul by R. Hood (drawn by L. Ball),,63,63
3,6:38.0,,Cleveland full timeout,63,63
3,6:38.0,,Technical foul by T. Thompson,63,63
3,6:38.0,K. Kuzma makes technical free throw,,64,63
3,6:38.0,L. Ball misses free throw 1 of 1,,64,63
3,6:38.0,Offensive rebound by J. McGee,,64,63
3,6:33.0,Turnover by J. McGee (bad pass),,64,63
3,6:21.0,,R. Hood misses 2-pt jump shot from 16 ft,64,63
3,6:17.0,Defensive rebound by J. McGee,,64,63
3,6:13.0,L. Ball makes 2-pt layup from 1 ft,,66,63
3,5:57.0,,C. Osman makes 3-pt jump shot from 28 ft (assist by C. Sexton),66,66
3,5:49.0,L. Ball misses 2-pt layup from 1 ft,,66,66
3,5:49.0,Offensive rebound by Team,,66,66
3,5:49.0,K. Caldwell-Pope enters the game for B. Ingram,,66,66
3,5:49.0,,J. Clarkson enters the game for R. Hood,66,66
3,5:45.0,Turnover by K. Kuzma (out of bounds lost ball),,66,66
3,5:28.0,,D. Nwaba makes 3-pt jump shot from 24 ft (assist by J. Clarkson),66,69
3,5:15.0,L. James misses 3-pt jump shot from 34 ft,,66,69
3,5:10.0,,Defensive rebound by C. Osman,66,69
3,5:06.0,,Personal foul by K. Kuzma (drawn by C. Osman),66,69
3,5:06.0,T. Chandler enters the game for K. Kuzma,,66,69
3,5:06.0,J. Hart enters the game for J. McGee,,66,69
3,5:06.0,,L. Nance enters the game for T. Thompson,66,69
3,4:58.0,,D. Nwaba misses 3-pt jump shot from 26 ft,66,69
3,4:55.0,Defensive rebound by T. Chandler,,66,69
3,4:44.0,Personal foul by D. Nwaba (drawn by J. Hart),,66,69
3,4:44.0,,K. Korver enters the game for D. Nwaba,66,69
3,4:39.0,J. Hart misses 3-pt jump shot from 25 ft,,66,69
3,4:36.0,,Defensive rebound by C. Sexton,66,69
3,4:23.0,,L. Nance misses 2-pt dunk from 3 ft,66,69
3,4:19.0,Defensive rebound by L. James,,66,69
3,4:17.0,L. James misses 2-pt layup from 1 ft,,66,69
3,4:17.0,,Defensive rebound by K. Korver,66,69
3,4:01.0,,C. Sexton makes 2-pt jump shot from 7 ft,66,71
3,4:00.0,LA Lakers full timeout,,66,71
3,3:41.0,J. Hart makes 2-pt jump shot from 19 ft (assist by L. James),,68,71
3,3:15.0,,C. Osman misses 3-pt jump shot from 27 ft,68,71
3,3:11.0,Defensive rebound by K. Caldwell-Pope,,68,71
3,2:58.0,L. Ball misses 2-pt layup from 2 ft,,68,71
3,2:56.0,,Defensive rebound by L. Nance,68,71
3,2:44.0,,C. Sexton misses 3-pt jump shot from 26 ft,68,71
3,2:41.0,Defensive rebound by J. Hart,,68,71
3,2:39.0,Offensive foul by L. Ball (drawn by C. Sexton),,68,71
3,2:39.0,Turnover by L. Ball (offensive foul),,68,71
3,2:39.0,L. Stephenson enters the game for L. Ball,,68,71
3,2:39.0,,A. Harrison enters the game for C. Sexton,68,71
3,2:30.0,,Shooting foul by K. Caldwell-Pope (drawn by J. Clarkson),68,71
3,2:30.0,,J. Clarkson makes free throw 1 of 3,68,72
3,2:30.0,,J. Clarkson makes free throw 2 of 3,68,73
3,2:30.0,,J. Clarkson makes free throw 3 of 3,68,74
3,2:30.0,B. Ingram enters the game for L. James,,68,74
3,2:05.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by T. Chandler),,71,74
3,1:50.0,,A. Harrison misses 3-pt jump shot from 24 ft,71,74
3,1:47.0,Defensive rebound by T. Chandler,,71,74
3,1:40.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft,,74,74
3,1:16.0,,J. Clarkson makes 3-pt jump shot from 26 ft,74,77
3,1:07.0,L. Stephenson makes 2-pt layup at rim (assist by B. Ingram),,76,77
3,1:07.0,Shooting foul by J. Clarkson (drawn by L. Stephenson),,76,77
3,1:07.0,L. Stephenson makes free throw 1 of 1,,77,77
3,0:51.0,,J. Clarkson misses 2-pt layup from 2 ft,77,77
3,0:41.0,,Offensive rebound by L. Nance,77,77
3,0:41.0,,L. Nance misses 2-pt layup at rim,77,77
3,0:41.0,Defensive rebound by L. Stephenson,,77,77
3,0:34.0,J. Hart makes 2-pt layup from 1 ft (assist by L. Stephenson),,79,77
3,0:27.0,,A. Harrison makes 2-pt jump shot from 13 ft,79,79
3,0:24.0,B. Ingram misses 2-pt jump shot from 13 ft,,79,79
3,0:24.0,,Defensive rebound by L. Nance,79,79
3,0:21.0,,C. Osman makes 2-pt layup from 2 ft (assist by L. Nance),79,81
3,0:03.0,Shooting foul by C. Osman (drawn by B. Ingram),,79,81
3,0:03.0,B. Ingram makes free throw 1 of 2,,80,81
3,0:03.0,B. Ingram makes free throw 2 of 2,,81,81
4,11:51.0,Personal foul by C. Osman (drawn by B. Ingram),,81,81
4,11:41.0,L. Stephenson misses 2-pt jump shot from 4 ft,,81,81
4,11:37.0,,Defensive rebound by L. Nance,81,81
4,11:17.0,,L. Nance misses 2-pt layup from 3 ft,81,81
4,11:15.0,Defensive rebound by T. Chandler,,81,81
4,11:11.0,Shooting foul by A. Harrison (drawn by B. Ingram),,81,81
4,11:11.0,B. Ingram misses free throw 1 of 2,,81,81
4,11:11.0,Offensive rebound by Team,,81,81
4,11:11.0,B. Ingram makes free throw 2 of 2,,82,81
4,10:59.0,,K. Korver makes 3-pt jump shot from 27 ft (assist by A. Harrison),82,84
4,10:38.0,K. Caldwell-Pope makes 3-pt jump shot from 24 ft (assist by L. Stephenson),,85,84
4,10:17.0,,A. Harrison makes 2-pt layup from 2 ft,85,86
4,10:04.0,B. Ingram makes 2-pt jump shot from 17 ft,,87,86
4,9:49.0,,J. Clarkson misses 3-pt jump shot from 26 ft,87,86
4,9:45.0,,Offensive rebound by Team,87,86
4,9:38.0,,K. Korver misses 3-pt jump shot from 25 ft,87,86
4,9:36.0,Defensive rebound by B. Ingram,,87,86
4,9:32.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,87,86
4,9:27.0,,Defensive rebound by L. Nance,87,86
4,9:22.0,,J. Clarkson makes 2-pt jump shot from 16 ft,87,88
4,9:06.0,B. Ingram misses 2-pt jump shot from 15 ft,,87,88
4,9:03.0,,Defensive rebound by L. Nance,87,88
4,8:55.0,,A. Harrison misses 2-pt jump shot from 17 ft,87,88
4,8:54.0,Defensive rebound by Team,,87,88
4,8:54.0,,Loose ball foul by L. Nance (drawn by T. Chandler),87,88
4,8:45.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,87,88
4,8:43.0,,Defensive rebound by C. Osman,87,88
4,8:39.0,,Personal foul by K. Caldwell-Pope (drawn by C. Osman),87,88
4,8:39.0,,R. Hood enters the game for A. Harrison,87,88
4,8:39.0,,C. Sexton enters the game for C. Osman,87,88
4,8:27.0,,L. Nance makes 2-pt dunk from 2 ft (assist by J. Clarkson),87,90
4,8:27.0,LA Lakers full timeout,,87,90
4,8:27.0,L. James enters the game for T. Chandler,,87,90
4,8:27.0,K. Kuzma enters the game for J. Hart,,87,90
4,8:27.0,J. McGee enters the game for B. Ingram,,87,90
4,8:14.0,L. James misses 3-pt jump shot from 25 ft,,87,90
4,8:10.0,,Defensive rebound by C. Sexton,87,90
4,8:02.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by L. Nance),87,93
4,7:42.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,87,93
4,7:39.0,,Defensive rebound by J. Clarkson,87,93
4,7:33.0,,J. Clarkson makes 3-pt jump shot from 27 ft,87,96
4,7:31.0,LA Lakers full timeout,,87,96
4,7:31.0,L. Ball enters the game for J. McGee,,87,96
4,7:31.0,B. Ingram enters the game for L. Stephenson,,87,96
4,7:18.0,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,,87,96
4,7:16.0,,Defensive rebound by K. Korver,87,96
4,6:53.0,,J. Clarkson misses 2-pt layup from 6 ft,87,96
4,6:50.0,,Offensive rebound by J. Clarkson,87,96
4,6:46.0,,C. Sexton misses 3-pt jump shot from 25 ft,87,96
4,6:43.0,Defensive rebound by L. James,,87,96
4,6:31.0,B. Ingram makes 2-pt jump shot from 8 ft,,89,96
4,6:05.0,,Turnover by L. Nance (lost ball; steal by K. Caldwell-Pope),89,96
4,6:02.0,L. James makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),,91,96
4,6:02.0,,Cleveland full timeout,91,96
4,6:02.0,J. Hart enters the game for K. Caldwell-Pope,,91,96
4,6:02.0,,C. Osman enters the game for K. Korver,91,96
4,6:02.0,,T. Thompson enters the game for L. Nance,91,96
4,5:51.0,,C. Sexton misses 2-pt jump shot from 19 ft,91,96
4,5:46.0,,Offensive rebound by T. Thompson,91,96
4,5:41.0,,J. Clarkson makes 2-pt layup at rim (assist by C. Sexton),91,98
4,5:41.0,,Shooting foul by J. Hart (drawn by J. Clarkson),91,98
4,5:41.0,,J. Clarkson makes free throw 1 of 1,91,99
4,5:18.0,L. James misses 2-pt jump shot from 11 ft,,91,99
4,5:16.0,Offensive rebound by Team,,91,99
4,5:04.0,B. Ingram misses 2-pt jump shot from 18 ft,,91,99
4,5:00.0,,Defensive rebound by T. Thompson,91,99
4,4:36.0,,T. Thompson misses 2-pt hook shot from 10 ft,91,99
4,4:34.0,Defensive rebound by L. James,,91,99
4,4:30.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by L. James),,94,99
4,4:04.0,,Turnover by J. Clarkson (lost ball; steal by L. Ball),94,99
4,3:58.0,Turnover by L. Ball (step out of bounds),,94,99
4,3:58.0,J. McGee enters the game for J. Hart,,94,99
4,3:35.0,,R. Hood misses 3-pt jump shot from 32 ft,94,99
4,3:30.0,Defensive rebound by L. Ball,,94,99
4,3:27.0,Shooting foul by R. Hood (drawn by L. James),,94,99
4,3:27.0,L. James makes free throw 1 of 2,,95,99
4,3:27.0,L. James makes free throw 2 of 2,,96,99
4,3:27.0,,Cleveland full timeout,96,99
4,3:17.0,,J. Clarkson misses 3-pt jump shot from 28 ft,96,99
