QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA CLIPPERS_ACTION,MEMPHIS_SCORE,LA CLIPPERS_SCORE
1,1:42.0,,L. Williams makes free throw 2 of 2,13,18
1,1:33.0,Shooting foul by G. Temple (drawn by C. Parsons),,13,18
1,1:33.0,C. Parsons makes free throw 1 of 2,,14,18
1,1:33.0,,W. Chandler enters the game for S. Gilgeous-Alexander,14,18
1,1:33.0,C. Parsons makes free throw 2 of 2,,15,18
1,1:20.0,,J. Green misses 2-pt layup from 5 ft (block by I. Rabb),15,18
1,1:20.0,,Offensive rebound by Team,15,18
1,1:12.0,,M. Harrell makes 2-pt layup from 1 ft,15,20
1,0:59.0,Personal foul by W. Chandler (drawn by C. Parsons),,15,20
1,0:59.0,C. Parsons makes free throw 1 of 2,,16,20
1,0:59.0,C. Parsons makes free throw 2 of 2,,17,20
1,0:45.0,,L. Williams makes 3-pt jump shot from 24 ft,17,23
1,0:35.0,C. Parsons misses 3-pt jump shot from 26 ft,,17,23
1,0:32.0,,Defensive rebound by W. Chandler,17,23
1,0:24.0,,L. Williams makes 2-pt layup from 2 ft (assist by M. Harrell),17,25
1,0:03.0,J. Carter makes 2-pt layup from 2 ft,,19,25
1,0:00.0,,M. Harrell misses 3-pt jump shot from 24 ft,19,25
1,0:00.0,,Offensive rebound by Team,19,25
2,11:37.0,Turnover by J. Carter (lost ball; steal by G. Temple),,19,25
2,11:31.0,,G. Temple makes 2-pt layup from 1 ft,19,27
2,11:16.0,Y. Watanabe misses 3-pt jump shot from 26 ft,,19,27
2,11:13.0,,Defensive rebound by W. Chandler,19,27
2,11:09.0,,W. Chandler makes 2-pt layup from 2 ft,19,29
2,11:09.0,,Shooting foul by I. Rabb (drawn by W. Chandler),19,29
2,11:09.0,B. Caboclo enters the game for D. Hannahs,,19,29
2,11:09.0,T. Dorsey enters the game for I. Rabb,,19,29
2,11:09.0,J. Valančiūnas enters the game for Y. Watanabe,,19,29
2,11:09.0,,W. Chandler makes free throw 1 of 1,19,30
2,10:46.0,B. Caboclo misses 3-pt jump shot from 23 ft,,19,30
2,10:44.0,,Defensive rebound by J. Green,19,30
2,10:42.0,,Shooting foul by B. Caboclo (drawn by M. Harrell),19,30
2,10:42.0,,M. Harrell makes free throw 1 of 2,19,31
2,10:42.0,J. Holiday enters the game for B. Caboclo,,19,31
2,10:42.0,,M. Harrell misses free throw 2 of 2,19,31
2,10:40.0,Defensive rebound by J. Valančiūnas,,19,31
2,10:26.0,Turnover by J. Valančiūnas (bad pass; steal by L. Williams),,19,31
2,10:23.0,,J. Green makes 2-pt dunk from 1 ft (assist by L. Williams),19,33
2,10:23.0,Memphis full timeout,,19,33
2,10:23.0,D. Wright enters the game for J. Carter,,19,33
2,10:01.0,D. Wright misses 2-pt layup from 3 ft (block by G. Temple),,19,33
2,10:01.0,Offensive rebound by Team,,19,33
2,9:59.0,D. Wright misses 3-pt jump shot from 26 ft,,19,33
2,9:56.0,,Defensive rebound by J. Green,19,33
2,9:50.0,,Turnover by L. Williams (bad pass; steal by D. Wright),19,33
2,9:41.0,T. Dorsey makes 3-pt jump shot from 26 ft (assist by C. Parsons),,22,33
2,9:26.0,,Personal foul by C. Parsons (drawn by J. Green),22,33
2,9:21.0,,J. Green makes 3-pt jump shot from 23 ft (assist by L. Williams),22,36
2,9:07.0,D. Wright makes 3-pt jump shot from 22 ft (assist by T. Dorsey),,25,36
2,8:58.0,,L. Williams makes 2-pt jump shot from 5 ft,25,38
2,8:45.0,J. Holiday misses 3-pt jump shot from 26 ft,,25,38
2,8:40.0,,Defensive rebound by G. Temple,25,38
2,8:36.0,,G. Temple misses 2-pt jump shot from 6 ft,25,38
2,8:34.0,Defensive rebound by C. Parsons,,25,38
2,8:30.0,Turnover by C. Parsons (lost ball; steal by G. Temple),,25,38
2,8:30.0,Violation by Team (kicked ball),,25,38
2,8:14.0,,M. Harrell makes 2-pt layup from 3 ft,25,40
2,8:14.0,,Shooting foul by J. Valančiūnas (drawn by M. Harrell),25,40
2,8:14.0,,M. Harrell makes free throw 1 of 1,25,41
2,7:58.0,Shooting foul by M. Harrell (drawn by J. Valančiūnas),,25,41
2,7:58.0,J. Valančiūnas misses free throw 1 of 2,,25,41
2,7:58.0,Offensive rebound by Team,,25,41
2,7:58.0,J. Valančiūnas makes free throw 2 of 2,,26,41
2,7:47.0,,L. Williams makes 2-pt layup from 2 ft,26,43
2,7:36.0,T. Dorsey misses 3-pt jump shot from 26 ft,,26,43
2,7:34.0,Offensive rebound by J. Valančiūnas,,26,43
2,7:30.0,C. Parsons misses 2-pt jump shot from 20 ft,,26,43
2,7:27.0,,Defensive rebound by W. Chandler,26,43
2,7:23.0,,M. Harrell makes 2-pt layup from 2 ft (assist by W. Chandler),26,45
2,7:10.0,T. Dorsey makes 3-pt jump shot from 23 ft (assist by C. Parsons),,29,45
2,6:59.0,,M. Harrell misses 2-pt dunk from 1 ft (block by J. Valančiūnas),29,45
2,6:57.0,,Offensive rebound by G. Temple,29,45
2,6:57.0,,Personal foul by D. Wright (drawn by M. Harrell),29,45
2,6:57.0,,M. Harrell makes free throw 1 of 2,29,46
2,6:57.0,Y. Watanabe enters the game for C. Parsons,,29,46
2,6:57.0,,M. Harrell makes free throw 2 of 2,29,47
2,6:41.0,T. Dorsey misses 2-pt jump shot from 16 ft,,29,47
2,6:38.0,Offensive rebound by Team,,29,47
2,6:38.0,,S. Gilgeous-Alexander enters the game for M. Harrell,29,47
2,6:38.0,,L. Shamet enters the game for G. Temple,29,47
2,6:38.0,,I. Zubac enters the game for L. Williams,29,47
2,6:28.0,Shooting foul by W. Chandler (drawn by J. Valančiūnas),,29,47
2,6:28.0,J. Valančiūnas makes free throw 1 of 2,,30,47
2,6:28.0,,D. Gallinari enters the game for J. Green,30,47
2,6:28.0,J. Valančiūnas makes free throw 2 of 2,,31,47
2,6:19.0,,Shooting foul by T. Dorsey (drawn by S. Gilgeous-Alexander),31,47
2,6:19.0,,S. Gilgeous-Alexander makes free throw 1 of 2,31,48
2,6:19.0,,P. Beverley enters the game for W. Chandler,31,48
2,6:19.0,,S. Gilgeous-Alexander makes free throw 2 of 2,31,49
2,6:07.0,T. Dorsey makes 2-pt layup from 2 ft (assist by D. Wright),,33,49
2,5:50.0,,I. Zubac misses 2-pt layup from 3 ft,33,49
2,5:48.0,Defensive rebound by Y. Watanabe,,33,49
2,5:40.0,J. Holiday misses 3-pt jump shot from 24 ft,,33,49
2,5:37.0,Offensive rebound by J. Valančiūnas,,33,49
2,5:35.0,J. Valančiūnas misses 2-pt hook shot from 1 ft,,33,49
2,5:32.0,,Defensive rebound by P. Beverley,33,49
2,5:29.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),33,51
2,5:29.0,I. Rabb enters the game for J. Valančiūnas,,33,51
2,5:08.0,D. Wright misses 2-pt layup from 2 ft,,33,51
2,5:07.0,,Defensive rebound by I. Zubac,33,51
2,5:01.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by I. Rabb),33,51
2,4:55.0,Turnover by J. Holiday (lost ball; steal by S. Gilgeous-Alexander),,33,51
2,4:49.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by L. Shamet),33,53
2,4:31.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Wright),,36,53
2,4:21.0,,Turnover by S. Gilgeous-Alexander (lost ball; steal by Y. Watanabe),36,53
2,4:16.0,J. Holiday makes 2-pt layup from 1 ft (assist by Y. Watanabe),,38,53
2,3:54.0,,L. Shamet misses 3-pt jump shot from 25 ft,38,53
2,3:52.0,Defensive rebound by Y. Watanabe,,38,53
2,3:44.0,Turnover by Y. Watanabe (out of bounds lost ball),,38,53
2,3:44.0,,LA Clippers full timeout,38,53
2,3:28.0,,P. Beverley misses 3-pt jump shot from 25 ft,38,53
2,3:23.0,Defensive rebound by D. Wright,,38,53
2,3:06.0,J. Holiday misses 3-pt jump shot from 23 ft,,38,53
2,3:04.0,Offensive rebound by I. Rabb,,38,53
2,3:04.0,Personal foul by S. Gilgeous-Alexander (drawn by I. Rabb),,38,53
2,2:57.0,I. Rabb makes 2-pt layup from 5 ft (assist by D. Wright),,40,53
2,2:57.0,Shooting foul by I. Zubac (drawn by I. Rabb),,40,53
2,2:57.0,I. Rabb makes free throw 1 of 1,,41,53
2,2:40.0,,L. Shamet misses 3-pt jump shot from 23 ft,41,53
2,2:37.0,Defensive rebound by D. Wright,,41,53
2,2:18.0,T. Dorsey makes 2-pt jump shot from 7 ft,,43,53
2,2:10.0,,Personal foul by Y. Watanabe (drawn by D. Gallinari),43,53
2,2:10.0,,M. Harrell enters the game for S. Gilgeous-Alexander,43,53
2,2:10.0,,L. Williams enters the game for I. Zubac,43,53
2,2:10.0,,D. Gallinari makes free throw 1 of 2,43,54
2,2:10.0,,D. Gallinari makes free throw 2 of 2,43,55
2,1:56.0,T. Dorsey makes 2-pt jump shot from 20 ft,,45,55
2,1:47.0,,Shooting foul by Y. Watanabe (drawn by D. Gallinari),45,55
2,1:47.0,,D. Gallinari makes free throw 1 of 2,45,56
2,1:47.0,J. Washburn enters the game for Y. Watanabe,,45,56
2,1:47.0,,D. Gallinari makes free throw 2 of 2,45,57
2,1:37.0,I. Rabb misses 2-pt jump shot from 17 ft,,45,57
2,1:33.0,,Defensive rebound by D. Gallinari,45,57
2,1:13.0,,M. Harrell makes 2-pt layup from 1 ft (assist by D. Gallinari),45,59
2,1:05.0,Personal foul by P. Beverley (drawn by D. Wright),,45,59
2,1:05.0,D. Wright makes free throw 1 of 2,,46,59
2,1:05.0,D. Wright misses free throw 2 of 2,,46,59
2,1:00.0,,Defensive rebound by L. Shamet,46,59
2,0:55.0,,L. Shamet misses 2-pt layup from 3 ft (block by J. Washburn),46,59
2,0:51.0,Defensive rebound by I. Rabb,,46,59
2,0:50.0,J. Holiday misses 3-pt jump shot from 23 ft,,46,59
2,0:46.0,,Defensive rebound by D. Gallinari,46,59
2,0:37.0,,Shooting foul by I. Rabb (drawn by M. Harrell),46,59
2,0:37.0,,M. Harrell makes free throw 1 of 2,46,60
2,0:37.0,J. Valančiūnas enters the game for I. Rabb,,46,60
2,0:37.0,,M. Harrell makes free throw 2 of 2,46,61
2,0:30.0,T. Dorsey misses 3-pt jump shot from 25 ft,,46,61
2,0:27.0,,Defensive rebound by M. Harrell,46,61
2,0:07.0,,Turnover by D. Gallinari (bad pass; steal by J. Holiday),46,61
2,0:02.0,D. Wright misses 2-pt layup from 2 ft,,46,61
2,0:01.0,,Defensive rebound by D. Gallinari,46,61
3,11:46.0,Turnover by B. Caboclo (lost ball; steal by S. Gilgeous-Alexander),,46,61
3,11:42.0,,D. Gallinari makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),46,63
3,11:19.0,Turnover by J. Holiday (bad pass; steal by I. Zubac),,46,63
3,11:14.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Shamet),46,65
3,10:53.0,Turnover by J. Valančiūnas (bad pass; steal by S. Gilgeous-Alexander),,46,65
3,10:48.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by D. Gallinari),46,68
3,10:47.0,Memphis full timeout,,46,68
3,10:24.0,J. Valančiūnas misses 2-pt hook shot from 2 ft,,46,68
3,10:22.0,,Defensive rebound by D. Gallinari,46,68
3,10:16.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by D. Wright),46,68
3,10:13.0,,Offensive rebound by S. Gilgeous-Alexander,46,68
3,10:06.0,,P. Beverley misses 3-pt jump shot from 26 ft,46,68
3,10:00.0,,Offensive rebound by D. Gallinari,46,68
3,10:00.0,,D. Gallinari makes 2-pt layup at rim,46,70
3,9:41.0,T. Dorsey misses 2-pt jump shot from 14 ft (block by S. Gilgeous-Alexander),,46,70
3,9:39.0,,Defensive rebound by P. Beverley,46,70
3,9:31.0,,L. Shamet misses 3-pt jump shot from 25 ft,46,70
3,9:29.0,,Offensive rebound by Team,46,70
3,9:27.0,,L. Shamet misses 3-pt jump shot from 25 ft,46,70
3,9:25.0,Defensive rebound by D. Wright,,46,70
3,9:20.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,46,70
3,9:16.0,,Defensive rebound by D. Gallinari,46,70
3,9:12.0,,Offensive foul by D. Gallinari (drawn by B. Caboclo),46,70
3,9:12.0,,Turnover by D. Gallinari (offensive foul),46,70
3,8:55.0,D. Wright makes 3-pt jump shot from 25 ft (assist by B. Caboclo),,49,70
3,8:29.0,,D. Gallinari makes 3-pt jump shot from 25 ft,49,73
3,8:13.0,D. Wright makes 2-pt jump shot from 12 ft,,51,73
3,7:56.0,,I. Zubac makes 2-pt jump shot from 6 ft (assist by P. Beverley),51,75
3,7:46.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Wright),,51,75
3,7:46.0,D. Wright makes free throw 1 of 2,,52,75
3,7:46.0,J. Washburn enters the game for B. Caboclo,,52,75
3,7:46.0,D. Wright makes free throw 2 of 2,,53,75
3,7:33.0,,Turnover by P. Beverley (bad pass),53,75
3,7:17.0,Turnover by J. Valančiūnas (lost ball; steal by L. Shamet),,53,75
3,7:10.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,53,75
3,7:07.0,Defensive rebound by J. Valančiūnas,,53,75
3,6:59.0,Offensive foul by J. Valančiūnas (drawn by I. Zubac),,53,75
3,6:59.0,Turnover by J. Valančiūnas (offensive foul),,53,75
3,6:46.0,,Offensive foul by I. Zubac (drawn by J. Washburn),53,75
3,6:46.0,,Turnover by I. Zubac (offensive foul),53,75
3,6:22.0,J. Holiday misses 3-pt jump shot from 23 ft,,53,75
3,6:17.0,,Defensive rebound by L. Shamet,53,75
3,6:16.0,,LA Clippers full timeout,53,75
3,6:16.0,I. Rabb enters the game for J. Valančiūnas,,53,75
3,5:59.0,,Turnover by I. Zubac (lost ball; steal by J. Washburn),53,75
3,5:55.0,J. Holiday misses 3-pt jump shot from 26 ft,,53,75
3,5:51.0,,Defensive rebound by I. Zubac,53,75
3,5:49.0,,Personal foul by J. Washburn (drawn by P. Beverley),53,75
3,5:49.0,J. Carter enters the game for J. Holiday,,53,75
3,5:49.0,C. Parsons enters the game for D. Wright,,53,75
3,5:33.0,,I. Zubac makes 2-pt layup from 1 ft (assist by D. Gallinari),53,77
3,5:18.0,J. Carter misses 2-pt jump shot from 11 ft,,53,77
3,5:11.0,,Defensive rebound by D. Gallinari,53,77
3,4:53.0,,D. Gallinari misses 2-pt jump shot from 19 ft,53,77
3,4:48.0,Defensive rebound by J. Washburn,,53,77
3,4:43.0,T. Dorsey makes 2-pt layup from 2 ft (assist by J. Washburn),,55,77
3,4:21.0,,I. Zubac makes 2-pt layup from 2 ft (assist by D. Gallinari),55,79
3,4:09.0,J. Washburn misses 3-pt jump shot from 25 ft,,55,79
3,4:06.0,,Defensive rebound by S. Gilgeous-Alexander,55,79
3,3:50.0,,Shooting foul by C. Parsons (drawn by D. Gallinari),55,79
3,3:50.0,,D. Gallinari makes free throw 1 of 2,55,80
3,3:50.0,Y. Watanabe enters the game for T. Dorsey,,55,80
3,3:50.0,,M. Harrell enters the game for P. Beverley,55,80
3,3:50.0,,G. Temple enters the game for S. Gilgeous-Alexander,55,80
3,3:50.0,,L. Williams enters the game for I. Zubac,55,80
3,3:50.0,,D. Gallinari makes free throw 2 of 2,55,81
3,3:28.0,C. Parsons makes 3-pt jump shot from 25 ft,,58,81
3,3:13.0,,G. Temple misses 3-pt jump shot from 23 ft,58,81
3,3:10.0,Defensive rebound by I. Rabb,,58,81
3,3:03.0,J. Washburn makes 2-pt jump shot from 16 ft (assist by I. Rabb),,60,81
3,2:39.0,,Shooting foul by I. Rabb (drawn by M. Harrell),60,81
3,2:39.0,,M. Harrell makes free throw 1 of 2,60,82
3,2:39.0,,J. Green enters the game for D. Gallinari,60,82
3,2:39.0,,M. Harrell makes free throw 2 of 2,60,83
3,2:16.0,C. Parsons makes 2-pt layup from 1 ft,,62,83
3,2:15.0,Violation by Team (delay of game),,62,83
3,1:55.0,,L. Williams misses 2-pt jump shot from 16 ft,62,83
3,1:52.0,Defensive rebound by J. Carter,,62,83
3,1:49.0,J. Washburn misses 3-pt jump shot from 26 ft,,62,83
3,1:46.0,,Defensive rebound by G. Temple,62,83
3,1:42.0,,M. Harrell makes 2-pt dunk at rim (assist by G. Temple),62,85
3,1:28.0,Shooting foul by G. Temple (drawn by J. Carter),,62,85
3,1:28.0,J. Carter makes free throw 1 of 2,,63,85
3,1:28.0,,W. Chandler enters the game for L. Shamet,63,85
3,1:28.0,J. Carter makes free throw 2 of 2,,64,85
3,1:17.0,,J. Green misses 3-pt jump shot from 25 ft,64,85
3,1:16.0,,Offensive rebound by Team,64,85
3,1:16.0,Loose ball foul by C. Parsons (drawn by M. Harrell),,64,85
3,1:12.0,,Shooting foul by I. Rabb (drawn by M. Harrell),64,85
3,1:12.0,,M. Harrell makes free throw 1 of 2,64,86
3,1:12.0,,M. Harrell makes free throw 2 of 2,64,87
3,0:59.0,C. Parsons makes 2-pt layup from 1 ft (assist by J. Carter),,66,87
3,0:53.0,,Turnover by G. Temple (lost ball; steal by C. Parsons),66,87
3,0:44.0,Personal foul by G. Temple (drawn by J. Carter),,66,87
3,0:44.0,J. Carter makes free throw 1 of 2,,67,87
3,0:44.0,J. Carter makes free throw 2 of 2,,68,87
3,0:34.0,,G. Temple misses 3-pt jump shot from 27 ft,68,87
3,0:30.0,Defensive rebound by C. Parsons,,68,87
3,0:12.0,J. Carter misses 2-pt jump shot from 12 ft,,68,87
3,0:08.0,Offensive rebound by J. Carter,,68,87
3,0:00.0,J. Carter misses 2-pt jump shot from 16 ft,,68,87
3,0:00.0,Offensive rebound by Team,,68,87
4,11:44.0,,Shooting foul by I. Rabb (drawn by J. Green),68,87
4,11:44.0,,J. Green makes free throw 1 of 2,68,88
4,11:44.0,B. Caboclo enters the game for I. Rabb,,68,88
4,11:44.0,,J. Green makes free throw 2 of 2,68,89
4,11:28.0,C. Parsons misses 3-pt jump shot from 25 ft,,68,89
4,11:23.0,,Defensive rebound by L. Williams,68,89
4,11:20.0,,J. Green makes 2-pt layup from 1 ft (assist by W. Chandler),68,91
4,11:06.0,Shooting foul by J. Green (drawn by C. Parsons),,68,91
4,11:06.0,C. Parsons makes free throw 1 of 2,,69,91
4,11:06.0,D. Hannahs enters the game for J. Carter,,69,91
4,11:06.0,D. Wright enters the game for J. Washburn,,69,91
4,11:06.0,C. Parsons makes free throw 2 of 2,,70,91
4,10:53.0,,M. Harrell misses 2-pt dunk from 2 ft,70,91
4,10:51.0,Defensive rebound by C. Parsons,,70,91
4,10:51.0,Personal foul by J. Green (drawn by C. Parsons),,70,91
4,10:38.0,B. Caboclo misses 2-pt layup from 2 ft (block by M. Harrell),,70,91
4,10:35.0,,Defensive rebound by J. Green,70,91
4,10:31.0,,J. Green makes 3-pt jump shot from 25 ft (assist by W. Chandler),70,94
4,10:17.0,C. Parsons misses 3-pt jump shot from 25 ft,,70,94
4,10:16.0,,Defensive rebound by Team,70,94
4,10:08.0,,L. Williams misses 2-pt jump shot from 18 ft,70,94
4,10:03.0,Defensive rebound by B. Caboclo,,70,94
4,9:45.0,C. Parsons makes 2-pt layup from 1 ft (assist by D. Hannahs),,72,94
4,9:28.0,,W. Chandler misses 3-pt jump shot from 27 ft,72,94
4,9:26.0,Defensive rebound by Y. Watanabe,,72,94
4,9:17.0,Y. Watanabe misses 2-pt jump shot from 14 ft,,72,94
4,9:14.0,,Defensive rebound by W. Chandler,72,94
4,9:14.0,J. Holiday enters the game for C. Parsons,,72,94
4,9:05.0,,Turnover by M. Harrell (lost ball; steal by J. Holiday),72,94
4,9:03.0,Personal take foul by L. Williams (drawn by D. Wright),,72,94
4,8:56.0,B. Caboclo makes 3-pt jump shot from 25 ft (assist by D. Wright),,75,94
4,8:44.0,,Shooting foul by D. Wright (drawn by L. Williams),75,94
4,8:44.0,,L. Williams makes free throw 1 of 2,75,95
4,8:44.0,,L. Williams makes free throw 2 of 2,75,96
4,8:24.0,B. Caboclo makes 3-pt jump shot from 25 ft (assist by Y. Watanabe),,78,96
4,8:14.0,,L. Williams misses 2-pt jump shot from 17 ft,78,96
4,8:12.0,Defensive rebound by D. Hannahs,,78,96
4,8:07.0,Y. Watanabe misses 3-pt jump shot from 24 ft,,78,96
4,8:03.0,Offensive rebound by Y. Watanabe,,78,96
4,8:02.0,D. Hannahs misses 3-pt jump shot from 26 ft,,78,96
4,8:02.0,,Defensive rebound by L. Williams,78,96
4,7:55.0,,M. Harrell misses 2-pt layup from 2 ft,78,96
4,7:51.0,Defensive rebound by J. Holiday,,78,96
4,7:49.0,D. Hannahs makes 2-pt layup from 2 ft (assist by J. Holiday),,80,96
4,7:26.0,,W. Chandler misses 3-pt jump shot from 26 ft,80,96
4,7:23.0,Defensive rebound by D. Wright,,80,96
4,7:18.0,D. Wright makes 2-pt layup from 1 ft,,82,96
4,7:03.0,,L. Williams misses 2-pt layup from 2 ft (block by B. Caboclo),82,96
4,7:02.0,,Offensive rebound by L. Williams,82,96
4,6:59.0,,L. Williams makes 2-pt layup from 2 ft,82,98
4,6:46.0,B. Caboclo makes 2-pt layup from 2 ft (assist by D. Hannahs),,84,98
