QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
1,3:49.0,,K. Durant makes 2-pt jump shot from 19 ft,16,27
1,3:39.0,New York full timeout,,16,27
1,3:39.0,E. Freedom enters the game for N. Vonleh,,16,27
1,3:39.0,,Q. Cook enters the game for S. Curry,16,27
1,3:39.0,,D. Green enters the game for K. Looney,16,27
1,3:32.0,A. Trier misses 2-pt jump shot from 17 ft,,16,27
1,3:31.0,,Defensive rebound by K. Thompson,16,27
1,3:17.0,,Turnover by K. Durant (bad pass; steal by M. Hezonja),16,27
1,3:06.0,E. Mudiay makes 2-pt jump shot from 8 ft,,18,27
1,2:45.0,,K. Thompson misses 2-pt jump shot from 22 ft,18,27
1,2:43.0,Defensive rebound by E. Freedom,,18,27
1,2:40.0,Turnover by E. Mudiay (bad pass; steal by Q. Cook),,18,27
1,2:25.0,,K. Durant misses 2-pt layup from 2 ft,18,27
1,2:24.0,Defensive rebound by M. Hezonja,,18,27
1,2:12.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,21,27
1,1:56.0,,K. Durant misses 3-pt jump shot from 29 ft,21,27
1,1:54.0,Defensive rebound by T. Hardaway,,21,27
1,1:41.0,Personal foul by D. Green (drawn by E. Freedom),,21,27
1,1:41.0,T. Burke enters the game for T. Hardaway,,21,27
1,1:41.0,D. Dotson enters the game for E. Mudiay,,21,27
1,1:41.0,,J. Jerebko enters the game for K. Thompson,21,27
1,1:32.0,D. Dotson misses 2-pt jump shot from 17 ft,,21,27
1,1:31.0,Offensive rebound by A. Trier,,21,27
1,1:27.0,A. Trier makes 2-pt jump shot from 11 ft,,23,27
1,1:12.0,,Personal foul by M. Hezonja (drawn by K. Durant),23,27
1,1:03.0,,Shooting foul by M. Hezonja (drawn by K. Durant),23,27
1,1:03.0,,K. Durant makes free throw 1 of 2,23,28
1,1:03.0,K. Knox enters the game for M. Hezonja,,23,28
1,1:03.0,,K. Durant makes free throw 2 of 2,23,29
1,0:43.0,E. Freedom misses 2-pt layup from 9 ft,,23,29
1,0:42.0,,Defensive rebound by K. Durant,23,29
1,0:31.0,,K. Durant misses 3-pt jump shot from 25 ft,23,29
1,0:29.0,Defensive rebound by E. Freedom,,23,29
1,0:07.0,T. Burke makes 2-pt jump shot from 17 ft,,25,29
1,0:02.0,,Q. Cook makes 2-pt layup from 2 ft (assist by K. Durant),25,31
1,0:02.0,Violation by Team (def goaltending),,25,31
2,11:41.0,T. Burke makes 2-pt layup from 2 ft,,27,31
2,11:41.0,Shooting foul by A. McKinnie (drawn by T. Burke),,27,31
2,11:41.0,T. Burke makes free throw 1 of 1,,28,31
2,11:24.0,,Turnover by A. Iguodala (bad pass; steal by D. Dotson),28,31
2,11:19.0,K. Knox misses 3-pt jump shot from 23 ft,,28,31
2,11:17.0,,Defensive rebound by Team,28,31
2,11:07.0,,A. Iguodala misses 3-pt jump shot from 26 ft,28,31
2,11:05.0,,Offensive rebound by D. Green,28,31
2,11:02.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by D. Green),28,33
2,10:41.0,K. Knox misses 2-pt layup from 10 ft,,28,33
2,10:40.0,Offensive rebound by E. Freedom,,28,33
2,10:40.0,E. Freedom makes 2-pt layup at rim,,30,33
2,10:26.0,,S. Curry misses 3-pt jump shot from 26 ft,30,33
2,10:24.0,Defensive rebound by D. Dotson,,30,33
2,10:21.0,A. Trier makes 3-pt jump shot from 25 ft (assist by D. Dotson),,33,33
2,10:02.0,,S. Curry misses 2-pt layup from 2 ft,33,33
2,10:01.0,Defensive rebound by E. Freedom,,33,33
2,9:56.0,T. Burke misses 2-pt layup from 4 ft,,33,33
2,9:55.0,Offensive rebound by E. Freedom,,33,33
2,9:50.0,E. Freedom makes 2-pt layup at rim,,35,33
2,9:49.0,,Personal foul by E. Freedom (drawn by D. Green),35,33
2,9:49.0,Violation by Team (delay of game),,35,33
2,9:42.0,,A. McKinnie makes 3-pt jump shot from 26 ft (assist by S. Curry),35,36
2,9:22.0,E. Freedom makes 2-pt layup from 2 ft (assist by T. Burke),,37,36
2,9:17.0,,Personal foul by D. Dotson (drawn by A. Iguodala),37,36
2,9:10.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by J. Jerebko),37,39
2,8:46.0,Turnover by E. Freedom (lost ball; steal by A. Iguodala),,37,39
2,8:40.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),37,41
2,8:23.0,K. Knox makes 2-pt jump shot from 21 ft (assist by E. Freedom),,39,41
2,8:10.0,,S. Curry misses 3-pt jump shot from 26 ft,39,41
2,8:08.0,,Offensive rebound by D. Green,39,41
2,8:06.0,,Turnover by A. McKinnie (traveling),39,41
2,8:06.0,,K. Looney enters the game for D. Green,39,41
2,7:55.0,T. Burke misses 2-pt jump shot from 21 ft,,39,41
2,7:54.0,,Defensive rebound by J. Jerebko,39,41
2,7:31.0,,S. Curry makes 2-pt layup from 10 ft,39,43
2,7:15.0,Shooting foul by S. Curry (drawn by T. Burke),,39,43
2,7:15.0,T. Burke makes free throw 1 of 2,,40,43
2,7:15.0,M. Hezonja enters the game for D. Dotson,,40,43
2,7:15.0,E. Mudiay enters the game for A. Trier,,40,43
2,7:15.0,,K. Thompson enters the game for A. Iguodala,40,43
2,7:15.0,T. Burke makes free throw 2 of 2,,41,43
2,7:03.0,,K. Thompson misses 2-pt jump shot from 12 ft,41,43
2,7:02.0,,Offensive rebound by A. McKinnie,41,43
2,6:55.0,,K. Thompson misses 3-pt jump shot from 27 ft,41,43
2,6:53.0,,Offensive rebound by A. McKinnie,41,43
2,6:53.0,,A. McKinnie makes 2-pt dunk from 1 ft,41,45
2,6:40.0,M. Hezonja misses 2-pt jump shot from 7 ft (block by K. Thompson),,41,45
2,6:39.0,,Defensive rebound by J. Jerebko,41,45
2,6:33.0,,S. Curry misses 2-pt layup from 2 ft,41,45
2,6:31.0,,Offensive rebound by J. Jerebko,41,45
2,6:31.0,,J. Jerebko makes 2-pt dunk from 1 ft,41,47
2,6:21.0,New York full timeout,,41,47
2,6:21.0,T. Hardaway enters the game for T. Burke,,41,47
2,6:21.0,,Q. Cook enters the game for S. Curry,41,47
2,6:21.0,,K. Durant enters the game for J. Jerebko,41,47
2,6:09.0,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),,43,47
2,5:52.0,,Q. Cook misses 3-pt jump shot from 27 ft,43,47
2,5:50.0,Defensive rebound by K. Knox,,43,47
2,5:42.0,E. Mudiay misses 2-pt jump shot from 8 ft,,43,47
2,5:40.0,,Defensive rebound by A. McKinnie,43,47
2,5:24.0,,Personal foul by K. Knox (drawn by K. Durant),43,47
2,5:24.0,N. Vonleh enters the game for K. Knox,,43,47
2,5:15.0,,Personal foul by M. Hezonja (drawn by K. Looney),43,47
2,5:02.0,,Shooting foul by N. Vonleh (drawn by K. Durant),43,47
2,5:02.0,,K. Durant makes free throw 1 of 2,43,48
2,5:02.0,D. Dotson enters the game for M. Hezonja,,43,48
2,5:02.0,,K. Durant misses free throw 2 of 2,43,48
2,5:00.0,Defensive rebound by N. Vonleh,,43,48
2,4:48.0,T. Hardaway misses 2-pt jump shot from 20 ft,,43,48
2,4:45.0,,Defensive rebound by K. Looney,43,48
2,4:38.0,,K. Thompson misses 3-pt jump shot from 26 ft,43,48
2,4:36.0,Defensive rebound by E. Freedom,,43,48
2,4:23.0,Turnover by T. Hardaway (bad pass),,43,48
2,4:11.0,,K. Durant misses 3-pt jump shot from 27 ft,43,48
2,4:09.0,Defensive rebound by E. Freedom,,43,48
2,3:52.0,N. Vonleh makes 2-pt hook shot from 8 ft,,45,48
2,3:52.0,Shooting foul by K. Looney (drawn by N. Vonleh),,45,48
2,3:52.0,K. Knox enters the game for E. Freedom,,45,48
2,3:52.0,,S. Curry enters the game for Q. Cook,45,48
2,3:52.0,,D. Green enters the game for K. Looney,45,48
2,3:52.0,,A. Iguodala enters the game for A. McKinnie,45,48
2,3:52.0,N. Vonleh makes free throw 1 of 1,,46,48
2,3:39.0,,K. Durant misses 2-pt jump shot from 17 ft,46,48
2,3:38.0,Defensive rebound by N. Vonleh,,46,48
2,3:27.0,D. Dotson misses 2-pt jump shot from 20 ft,,46,48
2,3:26.0,,Defensive rebound by A. Iguodala,46,48
2,3:20.0,,Turnover by K. Durant (bad pass; steal by E. Mudiay),46,48
2,3:15.0,Shooting foul by A. Iguodala (drawn by E. Mudiay),,46,48
2,3:15.0,E. Mudiay misses free throw 1 of 2,,46,48
2,3:15.0,Offensive rebound by Team,,46,48
2,3:15.0,E. Mudiay makes free throw 2 of 2,,47,48
2,3:06.0,,Turnover by S. Curry (lost ball; steal by D. Dotson),47,48
2,3:02.0,T. Hardaway makes 2-pt layup from 2 ft (assist by N. Vonleh),,49,48
2,3:02.0,,Golden State full timeout,49,48
2,2:47.0,,Def 3 sec tech foul by Team,49,48
2,2:47.0,,S. Curry makes technical free throw,49,49
2,2:37.0,,K. Thompson makes 2-pt layup from 1 ft (assist by D. Green),49,51
2,2:15.0,Turnover by E. Mudiay (bad pass; steal by K. Thompson),,49,51
2,2:05.0,,K. Thompson misses 3-pt jump shot from 23 ft,49,51
2,2:03.0,,Offensive rebound by K. Durant,49,51
2,2:00.0,,D. Green misses 2-pt layup from 2 ft,49,51
2,1:58.0,,Offensive rebound by Team,49,51
2,1:52.0,,S. Curry makes 3-pt jump shot from 27 ft,49,54
2,1:24.0,N. Vonleh misses 2-pt hook shot from 6 ft,,49,54
2,1:23.0,,Defensive rebound by S. Curry,49,54
2,1:16.0,,S. Curry makes 2-pt layup from 2 ft,49,56
2,1:07.0,New York full timeout,,49,56
2,1:07.0,A. Trier enters the game for T. Hardaway,,49,56
2,0:48.0,Turnover by A. Trier (bad pass; steal by A. Iguodala),,49,56
2,0:45.0,,Shooting foul by K. Knox (drawn by K. Durant),49,56
2,0:45.0,,K. Durant makes free throw 1 of 2,49,57
2,0:45.0,,K. Durant makes free throw 2 of 2,49,58
2,0:23.0,E. Mudiay misses 3-pt jump shot from 27 ft,,49,58
2,0:19.0,,Defensive rebound by Team,49,58
2,0:04.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),49,61
2,0:01.0,D. Dotson misses 3-pt jump shot from 49 ft,,49,61
2,0:01.0,Offensive rebound by Team,,49,61
3,11:47.0,L. Kornet makes 3-pt jump shot from 27 ft (assist by E. Mudiay),,52,61
3,11:27.0,,K. Durant misses 3-pt jump shot from 23 ft,52,61
3,11:25.0,,Offensive rebound by K. Looney,52,61
3,11:22.0,,S. Curry misses 2-pt jump shot from 21 ft,52,61
3,11:21.0,Defensive rebound by N. Vonleh,,52,61
3,11:08.0,E. Mudiay makes 2-pt jump shot from 10 ft,,54,61
3,10:56.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),54,63
3,10:42.0,K. Knox misses 3-pt jump shot from 26 ft,,54,63
3,10:40.0,,Defensive rebound by D. Green,54,63
3,10:35.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),54,65
3,10:20.0,K. Knox misses 2-pt jump shot from 22 ft,,54,65
3,10:19.0,,Defensive rebound by D. Green,54,65
3,10:15.0,,S. Curry misses 3-pt jump shot from 27 ft,54,65
3,10:13.0,Defensive rebound by E. Mudiay,,54,65
3,9:58.0,L. Kornet makes 3-pt jump shot from 28 ft (assist by N. Vonleh),,57,65
3,9:43.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),57,68
3,9:25.0,Turnover by K. Knox (lost ball; steal by K. Thompson),,57,68
3,9:15.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Curry),57,70
3,8:55.0,Turnover by K. Knox (bad pass),,57,70
3,8:46.0,,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),57,72
3,8:46.0,New York full timeout,,57,72
3,8:28.0,Shooting foul by D. Green (drawn by T. Hardaway),,57,72
3,8:28.0,T. Hardaway makes free throw 1 of 2,,58,72
3,8:28.0,T. Hardaway makes free throw 2 of 2,,59,72
3,8:10.0,,S. Curry misses 2-pt jump shot from 7 ft (block by L. Kornet),59,72
3,8:09.0,Defensive rebound by T. Hardaway,,59,72
3,8:04.0,L. Kornet misses 3-pt jump shot from 29 ft,,59,72
3,8:02.0,,Defensive rebound by D. Green,59,72
3,7:56.0,,Shooting foul by K. Knox (drawn by K. Durant),59,72
3,7:56.0,,K. Durant makes free throw 1 of 3,59,73
3,7:56.0,,K. Durant makes free throw 2 of 3,59,74
3,7:56.0,,K. Durant makes free throw 3 of 3,59,75
3,7:39.0,Turnover by K. Knox (traveling),,59,75
3,7:30.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),59,78
3,7:13.0,T. Hardaway misses 3-pt jump shot from 28 ft,,59,78
3,7:11.0,,Defensive rebound by K. Durant,59,78
3,7:04.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by K. Durant),59,80
3,7:04.0,New York full timeout,,59,80
3,7:04.0,D. Dotson enters the game for T. Hardaway,,59,80
3,7:04.0,M. Hezonja enters the game for K. Knox,,59,80
3,7:04.0,E. Freedom enters the game for N. Vonleh,,59,80
3,6:51.0,E. Mudiay misses 2-pt jump shot from 8 ft,,59,80
3,6:49.0,,Defensive rebound by S. Curry,59,80
3,6:42.0,,Turnover by (8 sec),59,80
3,6:19.0,E. Freedom misses 2-pt jump shot from 20 ft,,59,80
3,6:17.0,,Defensive rebound by Team,59,80
3,6:11.0,,K. Thompson misses 3-pt jump shot from 27 ft,59,80
3,6:09.0,Defensive rebound by L. Kornet,,59,80
3,5:53.0,M. Hezonja misses 2-pt jump shot from 18 ft (block by K. Durant),,59,80
3,5:52.0,,Defensive rebound by D. Green,59,80
3,5:46.0,,S. Curry misses 3-pt jump shot from 28 ft,59,80
3,5:44.0,,Offensive rebound by K. Looney,59,80
3,5:41.0,,K. Thompson misses 3-pt jump shot from 23 ft,59,80
3,5:40.0,,Offensive rebound by Team,59,80
3,5:40.0,A. Trier enters the game for L. Kornet,,59,80
3,5:40.0,,A. Iguodala enters the game for D. Green,59,80
3,5:38.0,,K. Looney makes 2-pt dunk from 1 ft (assist by K. Durant),59,82
3,5:21.0,E. Mudiay misses 2-pt jump shot from 13 ft,,59,82
3,5:19.0,Offensive rebound by E. Freedom,,59,82
3,5:16.0,Turnover by E. Freedom (lost ball; steal by K. Looney),,59,82
3,5:11.0,,K. Durant makes 2-pt layup from 1 ft,59,84
3,5:11.0,T. Burke enters the game for E. Mudiay,,59,84
3,4:47.0,A. Trier misses 2-pt jump shot from 12 ft,,59,84
3,4:45.0,,Defensive rebound by Team,59,84
3,4:40.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by S. Curry),59,86
3,4:21.0,Shooting foul by S. Curry (drawn by M. Hezonja),,59,86
3,4:21.0,M. Hezonja makes free throw 1 of 2,,60,86
3,4:21.0,,Q. Cook enters the game for S. Curry,60,86
3,4:21.0,M. Hezonja makes free throw 2 of 2,,61,86
3,4:10.0,,K. Thompson misses 3-pt jump shot from 29 ft,61,86
3,4:08.0,Defensive rebound by E. Freedom,,61,86
3,3:52.0,Turnover by A. Trier (lost ball; steal by A. Iguodala),,61,86
3,3:44.0,,Q. Cook misses 3-pt jump shot from 23 ft,61,86
3,3:42.0,Defensive rebound by E. Freedom,,61,86
3,3:20.0,D. Dotson misses 2-pt jump shot from 7 ft (block by K. Looney),,61,86
3,3:19.0,,Defensive rebound by K. Durant,61,86
3,3:13.0,,K. Durant makes 2-pt layup from 2 ft,61,88
3,2:58.0,D. Dotson misses 3-pt jump shot from 27 ft,,61,88
3,2:56.0,Offensive rebound by E. Freedom,,61,88
3,2:54.0,E. Freedom misses 2-pt layup from 2 ft (block by K. Durant),,61,88
3,2:52.0,Offensive rebound by M. Hezonja,,61,88
3,2:49.0,D. Dotson misses 3-pt jump shot from 28 ft,,61,88
3,2:47.0,,Defensive rebound by Q. Cook,61,88
3,2:32.0,,K. Looney misses 2-pt jump shot from 13 ft,61,88
3,2:30.0,Defensive rebound by A. Trier,,61,88
3,2:24.0,A. Trier makes 2-pt layup from 2 ft,,63,88
3,2:15.0,,Golden State full timeout,63,88
3,2:15.0,,D. Green enters the game for K. Looney,63,88
3,2:15.0,,J. Jerebko enters the game for K. Thompson,63,88
3,2:08.0,,Offensive foul by K. Durant (drawn by A. Trier),63,88
3,2:08.0,,Turnover by K. Durant (offensive foul),63,88
3,2:02.0,T. Burke misses 2-pt layup from 7 ft (block by Q. Cook),,63,88
3,2:00.0,Offensive rebound by Team,,63,88
3,1:51.0,T. Burke misses 3-pt jump shot from 29 ft,,63,88
3,1:49.0,,Defensive rebound by Q. Cook,63,88
3,1:41.0,,Shooting foul by E. Freedom (drawn by A. Iguodala),63,88
3,1:41.0,,A. Iguodala misses free throw 1 of 2,63,88
3,1:41.0,,Offensive rebound by Team,63,88
3,1:41.0,,A. Iguodala makes free throw 2 of 2,63,89
3,1:20.0,A. Trier misses 3-pt jump shot from 26 ft,,63,89
3,1:18.0,,Defensive rebound by K. Durant,63,89
3,1:10.0,,D. Green misses 3-pt jump shot from 27 ft,63,89
3,1:08.0,Defensive rebound by M. Hezonja,,63,89
3,1:03.0,M. Hezonja makes 2-pt dunk from 1 ft,,65,89
3,0:50.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by A. Iguodala),65,92
3,0:34.0,M. Hezonja makes 2-pt layup from 3 ft (assist by E. Freedom),,67,92
3,0:27.0,,Q. Cook makes 2-pt layup from 2 ft (assist by K. Durant),67,94
3,0:07.0,Shooting foul by J. Jerebko (drawn by T. Burke),,67,94
3,0:07.0,T. Burke misses free throw 1 of 2,,67,94
3,0:07.0,Offensive rebound by Team,,67,94
3,0:07.0,N. Vonleh enters the game for E. Freedom,,67,94
3,0:07.0,T. Burke makes free throw 2 of 2,,68,94
3,0:03.0,,Turnover by K. Durant (lost ball; steal by N. Vonleh),68,94
3,0:00.0,A. Trier misses 3-pt jump shot from 29 ft,,68,94
3,0:00.0,Offensive rebound by Team,,68,94
4,11:40.0,,Turnover by A. Iguodala (bad pass; steal by E. Freedom),68,94
4,11:29.0,M. Hezonja makes 2-pt jump shot from 18 ft,,70,94
4,11:05.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),70,96
4,10:51.0,Offensive foul by E. Freedom (drawn by D. Green),,70,96
4,10:51.0,Turnover by E. Freedom (offensive foul),,70,96
4,10:42.0,,J. Jerebko misses 3-pt jump shot from 27 ft,70,96
4,10:40.0,Defensive rebound by E. Freedom,,70,96
4,10:19.0,A. Trier misses 2-pt layup from 4 ft (block by A. Iguodala),,70,96
4,10:18.0,Offensive rebound by Team,,70,96
4,10:16.0,E. Freedom misses 2-pt jump shot from 19 ft,,70,96
4,10:15.0,,Defensive rebound by A. Iguodala,70,96
4,10:10.0,,J. Jerebko misses 2-pt layup from 2 ft,70,96
4,10:09.0,Defensive rebound by E. Freedom,,70,96
4,10:02.0,D. Dotson misses 3-pt jump shot from 28 ft,,70,96
4,10:00.0,,Defensive rebound by S. Curry,70,96
4,9:55.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by D. Green),70,98
4,9:38.0,,Violation by Team (kicked ball),70,98
4,9:28.0,E. Freedom misses 2-pt jump shot from 9 ft (block by A. Iguodala),,70,98
4,9:27.0,,Defensive rebound by S. Curry,70,98
4,9:22.0,,S. Curry misses 3-pt jump shot from 28 ft,70,98
4,9:20.0,Defensive rebound by M. Hezonja,,70,98
4,9:12.0,A. Trier misses 2-pt jump shot from 19 ft,,70,98
4,9:11.0,,Defensive rebound by S. Curry,70,98
4,9:03.0,,K. Thompson misses 3-pt jump shot from 27 ft,70,98
4,9:01.0,Defensive rebound by E. Freedom,,70,98
4,8:50.0,M. Hezonja makes 3-pt jump shot from 28 ft (assist by A. Trier),,73,98
4,8:35.0,,A. Iguodala makes 2-pt layup from 2 ft,73,100
4,8:12.0,E. Freedom misses 2-pt layup from 3 ft (block by D. Green),,73,100
4,8:11.0,Offensive rebound by Team,,73,100
4,8:11.0,K. Knox enters the game for D. Dotson,,73,100
4,8:11.0,,A. McKinnie enters the game for A. Iguodala,73,100
4,8:07.0,A. Trier makes 2-pt layup from 3 ft,,75,100
4,7:55.0,,Turnover by K. Thompson (bad pass; steal by A. Trier),75,100
4,7:53.0,T. Burke makes 2-pt layup from 2 ft (assist by A. Trier),,77,100
4,7:52.0,,Golden State full timeout,77,100
4,7:52.0,,K. Looney enters the game for J. Jerebko,77,100
4,7:36.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by S. Curry),77,103
4,7:23.0,M. Hezonja misses 3-pt jump shot from 27 ft,,77,103
4,7:21.0,Offensive rebound by E. Freedom,,77,103
4,7:17.0,E. Freedom makes 2-pt layup from 1 ft,,79,103
4,7:08.0,,S. Curry misses 3-pt jump shot from 28 ft,79,103
4,7:06.0,Defensive rebound by K. Knox,,79,103
4,7:01.0,K. Knox makes 2-pt jump shot from 13 ft,,81,103
4,6:46.0,,A. McKinnie misses 3-pt jump shot from 28 ft,81,103
4,6:44.0,Defensive rebound by M. Hezonja,,81,103
4,6:31.0,M. Hezonja misses 2-pt hook shot from 11 ft,,81,103
4,6:30.0,Offensive rebound by E. Freedom,,81,103
4,6:27.0,E. Freedom makes 2-pt dunk from 2 ft,,83,103
4,6:15.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),83,106
4,6:01.0,A. Trier misses 2-pt layup from 1 ft,,83,106
4,6:00.0,,Defensive rebound by D. Green,83,106
4,5:53.0,,K. Thompson makes 2-pt jump shot from 22 ft (assist by D. Green),83,108
4,5:45.0,T. Burke misses 2-pt layup from 2 ft (block by D. Green),,83,108
4,5:44.0,,Defensive rebound by S. Curry,83,108
4,5:39.0,,S. Curry misses 3-pt jump shot from 26 ft,83,108
4,5:37.0,,Offensive rebound by K. Thompson,83,108
4,5:33.0,,K. Thompson makes 3-pt jump shot from 23 ft,83,111
4,5:33.0,New York full timeout,,83,111
4,5:33.0,L. Kornet enters the game for E. Freedom,,83,111
4,5:33.0,,J. Bell enters the game for S. Curry,83,111
4,5:33.0,,Q. Cook enters the game for D. Green,83,111
4,5:33.0,,J. Evans enters the game for K. Thompson,83,111
4,5:18.0,Turnover by M. Hezonja (traveling),,83,111
4,5:10.0,,Turnover by J. Bell (out of bounds lost ball),83,111
4,4:53.0,T. Burke misses 2-pt layup from 3 ft,,83,111
4,4:52.0,,Defensive rebound by A. McKinnie,83,111
4,4:36.0,,Q. Cook misses 3-pt jump shot from 26 ft,83,111
4,4:34.0,Defensive rebound by A. Trier,,83,111
4,4:28.0,A. Trier makes 2-pt jump shot from 12 ft,,85,111
4,4:10.0,,J. Evans makes 2-pt jump shot from 11 ft,85,113
4,4:10.0,,J. Jerebko enters the game for K. Looney,85,113
4,3:45.0,T. Burke misses 2-pt layup from 5 ft,,85,113
4,3:44.0,,Defensive rebound by A. McKinnie,85,113
4,3:31.0,,J. Bell makes 2-pt dunk at rim (assist by Q. Cook),85,115
4,3:12.0,L. Kornet misses 2-pt jump shot from 18 ft,,85,115
