QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
1,7:10.0,,K. Durant misses 3-pt jump shot from 25 ft,8,20
1,7:08.0,Defensive rebound by C. Hutchison,,8,20
1,7:00.0,L. Markkanen misses 3-pt jump shot from 27 ft,,8,20
1,6:54.0,,Defensive rebound by D. Green,8,20
1,6:50.0,,S. Curry misses 3-pt jump shot from 28 ft,8,20
1,6:48.0,,Offensive rebound by K. Looney,8,20
1,6:46.0,,Shooting foul by K. Dunn (drawn by K. Durant),8,20
1,6:46.0,,K. Durant makes free throw 1 of 2,8,21
1,6:46.0,,K. Durant makes free throw 2 of 2,8,22
1,6:32.0,Turnover by C. Hutchison (bad pass; steal by K. Looney),,8,22
1,6:27.0,,Shooting foul by W. Carter (drawn by D. Green),8,22
1,6:27.0,,D. Green makes free throw 1 of 2,8,23
1,6:27.0,R. Arcidiacono enters the game for C. Hutchison,,8,23
1,6:27.0,,D. Green makes free throw 2 of 2,8,24
1,6:12.0,Turnover by W. Carter (lost ball; steal by K. Thompson),,8,24
1,6:02.0,,K. Durant misses 2-pt jump shot from 15 ft,8,24
1,6:01.0,Defensive rebound by W. Carter,,8,24
1,5:43.0,K. Dunn misses 2-pt jump shot from 7 ft (block by D. Green),,8,24
1,5:41.0,,Defensive rebound by D. Green,8,24
1,5:31.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),8,26
1,5:06.0,L. Markkanen misses 3-pt jump shot from 23 ft,,8,26
1,5:04.0,,Defensive rebound by K. Thompson,8,26
1,4:56.0,,S. Curry misses 3-pt jump shot from 25 ft,8,26
1,4:54.0,Defensive rebound by L. Markkanen,,8,26
1,4:46.0,Z. LaVine misses 2-pt layup from 5 ft,,8,26
1,4:45.0,,Defensive rebound by K. Looney,8,26
1,4:38.0,,Personal foul by W. Carter (drawn by K. Durant),8,26
1,4:38.0,B. Portis enters the game for W. Carter,,8,26
1,4:38.0,,Q. Cook enters the game for D. Green,8,26
1,4:38.0,,A. Iguodala enters the game for K. Thompson,8,26
1,4:30.0,,K. Looney makes 2-pt jump shot from 8 ft (assist by S. Curry),8,28
1,4:17.0,Personal foul by A. Iguodala (drawn by B. Portis),,8,28
1,4:09.0,Personal foul by K. Looney (drawn by Z. LaVine),,8,28
1,4:04.0,B. Portis misses 2-pt jump shot from 16 ft,,8,28
1,4:03.0,,Defensive rebound by A. Iguodala,8,28
1,3:47.0,,Q. Cook makes 3-pt jump shot from 23 ft (assist by K. Looney),8,31
1,3:24.0,L. Markkanen makes 2-pt jump shot from 12 ft,,10,31
1,3:03.0,,A. Iguodala makes 3-pt jump shot from 26 ft (assist by K. Looney),10,34
1,2:52.0,K. Dunn makes 3-pt jump shot from 27 ft,,13,34
1,2:35.0,,K. Durant makes 2-pt jump shot from 9 ft (assist by Q. Cook),13,36
1,2:14.0,Z. LaVine makes 2-pt layup from 2 ft,,15,36
1,2:07.0,,Shooting foul by R. Arcidiacono (drawn by S. Curry),15,36
1,2:07.0,,S. Curry makes free throw 1 of 2,15,37
1,2:07.0,,D. Green enters the game for K. Looney,15,37
1,2:07.0,,S. Curry makes free throw 2 of 2,15,38
1,1:52.0,Offensive foul by K. Dunn (drawn by S. Curry),,15,38
1,1:52.0,Turnover by K. Dunn (offensive foul),,15,38
1,1:52.0,A. Blakeney enters the game for Z. LaVine,,15,38
1,1:52.0,,J. Jerebko enters the game for S. Curry,15,38
1,1:43.0,,Personal foul by R. Arcidiacono (drawn by K. Durant),15,38
1,1:43.0,,K. Durant makes free throw 1 of 2,15,39
1,1:43.0,C. Hutchison enters the game for K. Dunn,,15,39
1,1:43.0,W. Selden enters the game for L. Markkanen,,15,39
1,1:43.0,,K. Durant makes free throw 2 of 2,15,40
1,1:30.0,R. Arcidiacono misses 2-pt hook shot from 9 ft,,15,40
1,1:29.0,,Defensive rebound by D. Green,15,40
1,1:06.0,,Q. Cook misses 3-pt jump shot from 27 ft,15,40
1,1:04.0,,Offensive rebound by Team,15,40
1,0:48.0,,Turnover by J. Jerebko (offensive foul),15,40
1,0:48.0,,Offensive foul by J. Jerebko (drawn by C. Hutchison),15,40
1,0:35.0,B. Portis makes 2-pt jump shot from 11 ft,,17,40
1,0:26.0,,Q. Cook misses 3-pt jump shot from 26 ft,17,40
1,0:24.0,Defensive rebound by W. Selden,,17,40
1,0:04.0,A. Blakeney misses 2-pt jump shot from 14 ft,,17,40
1,0:02.0,,Defensive rebound by Q. Cook,17,40
1,0:00.0,,J. Jerebko makes 3-pt jump shot from 56 ft (assist by Q. Cook),17,43
2,11:43.0,Shooting foul by A. Iguodala (drawn by R. Arcidiacono),,17,43
2,11:43.0,R. Arcidiacono makes free throw 1 of 2,,18,43
2,11:43.0,R. Arcidiacono makes free throw 2 of 2,,19,43
2,11:27.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),19,46
2,11:08.0,B. Portis makes 2-pt jump shot from 21 ft,,21,46
2,10:58.0,,J. Jerebko misses 3-pt jump shot from 23 ft,21,46
2,10:56.0,Defensive rebound by C. Hutchison,,21,46
2,10:47.0,B. Portis makes 3-pt jump shot from 28 ft (assist by A. Blakeney),,24,46
2,10:19.0,,K. Thompson misses 3-pt jump shot from 26 ft,24,46
2,10:17.0,Defensive rebound by C. Hutchison,,24,46
2,10:04.0,Shooting foul by S. Livingston (drawn by A. Blakeney),,24,46
2,10:04.0,A. Blakeney makes free throw 1 of 2,,25,46
2,10:04.0,,K. Looney enters the game for D. Green,25,46
2,10:04.0,,A. McKinnie enters the game for A. Iguodala,25,46
2,10:04.0,A. Blakeney misses free throw 2 of 2,,25,46
2,10:03.0,,Defensive rebound by J. Jerebko,25,46
2,9:59.0,,Turnover by A. McKinnie (bad pass; steal by B. Portis),25,46
2,9:50.0,B. Portis misses 2-pt layup from 4 ft,,25,46
2,9:49.0,Offensive rebound by C. Hutchison,,25,46
2,9:48.0,C. Hutchison makes 2-pt layup from 3 ft,,27,46
2,9:47.0,,Golden State full timeout,27,46
2,9:47.0,S. Harrison enters the game for R. Arcidiacono,,27,46
2,9:39.0,,Personal foul by W. Selden (drawn by K. Looney),27,46
2,9:32.0,,K. Thompson makes 2-pt jump shot from 15 ft (assist by S. Livingston),27,48
2,9:18.0,A. Blakeney misses 2-pt jump shot from 13 ft,,27,48
2,9:17.0,,Defensive rebound by J. Jerebko,27,48
2,9:12.0,,S. Livingston makes 2-pt layup from 1 ft,27,50
2,9:12.0,,Shooting foul by C. Hutchison (drawn by S. Livingston),27,50
2,9:12.0,Z. LaVine enters the game for A. Blakeney,,27,50
2,9:12.0,,S. Livingston makes free throw 1 of 1,27,51
2,8:50.0,S. Harrison makes 2-pt layup from 2 ft (assist by B. Portis),,29,51
2,8:38.0,,K. Thompson makes 3-pt jump shot from 26 ft,29,54
2,8:20.0,Shooting foul by K. Thompson (drawn by B. Portis),,29,54
2,8:20.0,B. Portis makes free throw 1 of 2,,30,54
2,8:20.0,L. Markkanen enters the game for C. Hutchison,,30,54
2,8:20.0,B. Portis makes free throw 2 of 2,,31,54
2,8:09.0,,J. Jerebko makes 2-pt jump shot from 22 ft (assist by K. Looney),31,56
2,8:00.0,Personal foul by J. Jerebko (drawn by Z. LaVine),,31,56
2,8:00.0,R. Lopez enters the game for B. Portis,,31,56
2,7:47.0,R. Lopez misses 2-pt hook shot from 6 ft,,31,56
2,7:46.0,,Defensive rebound by A. McKinnie,31,56
2,7:46.0,,S. Curry enters the game for J. Jerebko,31,56
2,7:32.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by S. Curry),31,59
2,7:13.0,W. Selden misses 3-pt jump shot from 27 ft,,31,59
2,7:11.0,,Defensive rebound by S. Livingston,31,59
2,6:57.0,,Turnover by A. McKinnie (lost ball; steal by W. Selden),31,59
2,6:52.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by S. Harrison),,33,59
2,6:40.0,,K. Thompson misses 2-pt jump shot from 20 ft,33,59
2,6:39.0,Defensive rebound by S. Harrison,,33,59
2,6:24.0,Turnover by S. Harrison (bad pass),,33,59
2,6:24.0,K. Dunn enters the game for W. Selden,,33,59
2,6:14.0,,K. Thompson makes 2-pt jump shot from 10 ft (assist by K. Looney),33,61
2,5:58.0,Shooting foul by K. Looney (drawn by Z. LaVine),,33,61
2,5:58.0,Z. LaVine makes free throw 1 of 2,,34,61
2,5:58.0,,K. Durant enters the game for S. Livingston,34,61
2,5:58.0,,A. Iguodala enters the game for K. Thompson,34,61
2,5:58.0,Z. LaVine makes free throw 2 of 2,,35,61
2,5:42.0,,K. Looney misses 2-pt jump shot from 20 ft,35,61
2,5:41.0,Defensive rebound by L. Markkanen,,35,61
2,5:28.0,Turnover by Z. LaVine (out of bounds lost ball),,35,61
2,5:21.0,,Shooting foul by R. Lopez (drawn by A. McKinnie),35,61
2,5:21.0,,A. McKinnie makes free throw 1 of 2,35,62
2,5:21.0,,A. McKinnie makes free throw 2 of 2,35,63
2,5:08.0,L. Markkanen makes 2-pt jump shot from 18 ft (assist by K. Dunn),,37,63
2,4:55.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),37,66
2,4:47.0,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Dunn),,39,66
2,4:47.0,Shooting foul by A. McKinnie (drawn by Z. LaVine),,39,66
2,4:47.0,Z. LaVine makes free throw 1 of 1,,40,66
2,4:30.0,,Turnover by S. Curry (bad pass; steal by K. Dunn),40,66
2,4:18.0,L. Markkanen misses 3-pt jump shot from 27 ft,,40,66
2,4:16.0,,Defensive rebound by K. Looney,40,66
2,4:10.0,,S. Curry misses 3-pt jump shot from 26 ft,40,66
2,4:08.0,Defensive rebound by L. Markkanen,,40,66
2,3:57.0,Z. LaVine makes 3-pt jump shot from 28 ft (assist by K. Dunn),,43,66
2,3:42.0,,A. McKinnie makes 2-pt layup from 2 ft (assist by K. Looney),43,68
2,3:29.0,K. Dunn makes 2-pt layup from 6 ft,,45,68
2,3:29.0,,Golden State full timeout,45,68
2,3:29.0,W. Carter enters the game for R. Lopez,,45,68
2,3:29.0,,D. Green enters the game for K. Looney,45,68
2,3:29.0,,K. Thompson enters the game for A. McKinnie,45,68
2,3:18.0,,K. Durant makes 2-pt jump shot from 20 ft (assist by A. Iguodala),45,70
2,3:05.0,Offensive foul by W. Carter (drawn by K. Durant),,45,70
2,3:05.0,Turnover by W. Carter (offensive foul),,45,70
2,3:05.0,R. Lopez enters the game for W. Carter,,45,70
2,2:50.0,,D. Green misses 2-pt jump shot from 18 ft,45,70
2,2:49.0,,Offensive rebound by S. Curry,45,70
2,2:47.0,,S. Curry makes 2-pt layup from 2 ft,45,72
2,2:29.0,R. Lopez misses 2-pt hook shot from 12 ft,,45,72
2,2:28.0,,Defensive rebound by A. Iguodala,45,72
2,2:20.0,,Turnover by S. Curry (bad pass; steal by S. Harrison),45,72
2,2:15.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by S. Harrison),,47,72
2,2:08.0,,Personal foul by K. Dunn (drawn by K. Thompson),47,72
2,2:08.0,R. Arcidiacono enters the game for K. Dunn,,47,72
2,1:59.0,,A. Iguodala misses 2-pt jump shot from 15 ft,47,72
2,1:58.0,Defensive rebound by Z. LaVine,,47,72
2,1:50.0,Z. LaVine makes 2-pt layup from 4 ft,,49,72
2,1:37.0,,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),49,74
2,1:21.0,Z. LaVine makes 3-pt jump shot from 28 ft,,52,74
2,1:13.0,,S. Curry misses 3-pt jump shot from 26 ft,52,74
2,1:11.0,Defensive rebound by Z. LaVine,,52,74
2,0:59.0,Z. LaVine misses 3-pt jump shot from 30 ft,,52,74
2,0:57.0,,Defensive rebound by K. Durant,52,74
2,0:51.0,,K. Durant makes 2-pt jump shot from 16 ft,52,76
2,0:50.0,Chicago full timeout,,52,76
2,0:37.0,Turnover by Z. LaVine (bad pass),,52,76
2,0:24.0,,K. Thompson misses 2-pt jump shot from 18 ft,52,76
2,0:23.0,,Offensive rebound by D. Green,52,76
2,0:20.0,,K. Thompson misses 3-pt jump shot from 27 ft,52,76
2,0:17.0,Defensive rebound by Z. LaVine,,52,76
2,0:02.0,Z. LaVine makes 3-pt jump shot from 27 ft,,55,76
3,11:51.0,Z. LaVine misses 2-pt jump shot from 6 ft (block by K. Looney),,55,76
3,11:50.0,,Defensive rebound by K. Looney,55,76
3,11:37.0,,Shooting foul by K. Dunn (drawn by K. Thompson),55,76
3,11:37.0,,K. Thompson misses free throw 1 of 2,55,76
3,11:37.0,,Offensive rebound by Team,55,76
3,11:37.0,,K. Thompson makes free throw 2 of 2,55,77
3,11:18.0,C. Hutchison misses 2-pt hook shot from 10 ft,,55,77
3,11:17.0,Offensive rebound by W. Carter,,55,77
3,11:14.0,W. Carter makes 2-pt dunk at rim,,57,77
3,10:55.0,,K. Thompson misses 2-pt jump shot from 13 ft,57,77
3,10:53.0,Defensive rebound by Team,,57,77
3,10:41.0,Z. LaVine makes 2-pt jump shot from 18 ft,,59,77
3,10:27.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),59,80
3,10:07.0,W. Carter misses 2-pt layup from 3 ft (block by K. Looney),,59,80
3,10:06.0,,Defensive rebound by D. Green,59,80
3,10:00.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),59,83
3,9:59.0,Chicago full timeout,,59,83
3,9:51.0,Turnover by Z. LaVine (lost ball; steal by K. Thompson),,59,83
3,9:43.0,,K. Thompson misses 3-pt jump shot from 27 ft,59,83
3,9:41.0,Defensive rebound by W. Carter,,59,83
3,9:25.0,L. Markkanen makes 2-pt jump shot from 14 ft,,61,83
3,9:02.0,,K. Durant misses 2-pt layup from 7 ft,61,83
3,9:00.0,,Offensive rebound by K. Looney,61,83
3,9:00.0,,K. Looney misses 2-pt layup from 1 ft,61,83
3,8:59.0,Defensive rebound by W. Carter,,61,83
3,8:42.0,Z. LaVine misses 2-pt jump shot from 19 ft,,61,83
3,8:41.0,,Defensive rebound by S. Curry,61,83
3,8:37.0,,S. Curry makes 3-pt jump shot from 28 ft,61,86
3,8:20.0,Shooting foul by K. Looney (drawn by K. Dunn),,61,86
3,8:20.0,K. Dunn misses free throw 1 of 2,,61,86
3,8:20.0,Offensive rebound by Team,,61,86
3,8:20.0,B. Portis enters the game for C. Hutchison,,61,86
3,8:20.0,K. Dunn makes free throw 2 of 2,,62,86
3,8:03.0,,K. Looney makes 2-pt layup from 3 ft (assist by S. Curry),62,88
3,7:56.0,K. Dunn misses 2-pt hook shot from 9 ft,,62,88
3,7:55.0,,Defensive rebound by K. Durant,62,88
3,7:53.0,Technical foul by W. Carter,,62,88
3,7:53.0,,S. Curry makes technical free throw,62,89
3,7:53.0,Violation by Team (delay of game),,62,89
3,7:49.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),62,91
3,7:38.0,Personal foul by D. Green (drawn by B. Portis),,62,91
3,7:32.0,Shooting foul by D. Green (drawn by B. Portis),,62,91
3,7:32.0,B. Portis makes free throw 1 of 2,,63,91
3,7:32.0,Technical foul by B. Portis,,63,91
3,7:32.0,,Technical foul by K. Durant,63,91
3,7:32.0,B. Portis makes free throw 2 of 2,,64,91
3,7:24.0,,Shooting foul by Z. LaVine (drawn by K. Durant),64,91
3,7:24.0,,K. Durant makes free throw 1 of 2,64,92
3,7:24.0,,K. Durant makes free throw 2 of 2,64,93
3,7:15.0,Shooting foul by K. Thompson (drawn by Z. LaVine),,64,93
3,7:15.0,Z. LaVine makes free throw 1 of 2,,65,93
3,7:15.0,Z. LaVine makes free throw 2 of 2,,66,93
3,6:57.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),66,96
3,6:46.0,K. Dunn misses 2-pt jump shot from 15 ft,,66,96
3,6:45.0,,Defensive rebound by K. Durant,66,96
3,6:29.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),66,99
3,6:14.0,Personal foul by D. Green (drawn by B. Portis),,66,99
3,6:14.0,B. Portis misses free throw 1 of 2,,66,99
3,6:14.0,Offensive rebound by Team,,66,99
3,6:14.0,,A. Iguodala enters the game for D. Green,66,99
3,6:14.0,B. Portis makes free throw 2 of 2,,67,99
3,6:11.0,,Turnover by S. Curry (inbound),67,99
3,5:56.0,Turnover by Z. LaVine (lost ball; steal by K. Durant),,67,99
3,5:49.0,,S. Curry misses 3-pt jump shot from 28 ft,67,99
3,5:47.0,Defensive rebound by L. Markkanen,,67,99
3,5:45.0,Shooting foul by K. Looney (drawn by Z. LaVine),,67,99
3,5:45.0,Z. LaVine misses free throw 1 of 2,,67,99
3,5:45.0,Offensive rebound by Team,,67,99
3,5:45.0,,J. Bell enters the game for K. Looney,67,99
3,5:45.0,Z. LaVine makes free throw 2 of 2,,68,99
3,5:37.0,,Shooting foul by Z. LaVine (drawn by K. Thompson),68,99
3,5:37.0,,K. Thompson makes free throw 1 of 2,68,100
3,5:37.0,,K. Thompson makes free throw 2 of 2,68,101
3,5:25.0,Turnover by Z. LaVine (bad pass; steal by A. Iguodala),,68,101
3,5:18.0,,S. Curry makes 2-pt jump shot from 13 ft (assist by A. Iguodala),68,103
3,5:02.0,Z. LaVine misses 2-pt jump shot from 7 ft,,68,103
3,5:01.0,Offensive rebound by Z. LaVine,,68,103
3,4:57.0,L. Markkanen misses 2-pt layup from 3 ft,,68,103
3,4:56.0,,Defensive rebound by S. Curry,68,103
3,4:50.0,,J. Bell makes 2-pt dunk from 2 ft (assist by K. Durant),68,105
3,4:50.0,Chicago full timeout,,68,105
3,4:50.0,S. Harrison enters the game for Z. LaVine,,68,105
3,4:50.0,C. Hutchison enters the game for L. Markkanen,,68,105
3,4:35.0,Turnover by S. Harrison (step out of bounds),,68,105
3,4:27.0,,Turnover by J. Bell (bad pass; steal by B. Portis),68,105
3,4:22.0,B. Portis makes 2-pt layup from 2 ft,,70,105
3,4:08.0,,K. Thompson misses 3-pt jump shot from 27 ft,70,105
3,4:06.0,Defensive rebound by B. Portis,,70,105
3,3:56.0,W. Carter misses 2-pt hook shot from 8 ft,,70,105
3,3:55.0,,Defensive rebound by A. Iguodala,70,105
3,3:37.0,,Personal foul by W. Carter (drawn by K. Thompson),70,105
3,3:37.0,,Q. Cook enters the game for K. Thompson,70,105
3,3:27.0,,J. Bell makes 2-pt layup from 2 ft (assist by K. Durant),70,107
3,3:27.0,,Shooting foul by K. Dunn (drawn by J. Bell),70,107
3,3:27.0,,J. Bell makes free throw 1 of 1,70,108
3,3:15.0,B. Portis misses 2-pt jump shot from 4 ft (block by A. Iguodala),,70,108
3,3:14.0,Offensive rebound by B. Portis,,70,108
3,3:12.0,Turnover by B. Portis (lost ball; steal by A. Iguodala),,70,108
3,3:06.0,,K. Durant makes 2-pt layup from 1 ft (assist by S. Curry),70,110
3,2:52.0,K. Dunn misses 2-pt jump shot from 18 ft,,70,110
3,2:51.0,,Defensive rebound by A. Iguodala,70,110
3,2:44.0,,S. Curry misses 3-pt jump shot from 30 ft,70,110
3,2:42.0,,Offensive rebound by S. Curry,70,110
3,2:38.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by J. Bell),70,113
3,2:30.0,Personal foul by K. Durant (drawn by S. Harrison),,70,113
3,2:30.0,S. Harrison makes free throw 1 of 2,,71,113
3,2:30.0,R. Lopez enters the game for W. Carter,,71,113
3,2:30.0,,J. Jerebko enters the game for S. Curry,71,113
3,2:30.0,S. Harrison makes free throw 2 of 2,,72,113
3,2:07.0,,K. Durant misses 2-pt jump shot from 21 ft,72,113
3,2:06.0,,Offensive rebound by Q. Cook,72,113
3,1:59.0,,Shooting foul by R. Lopez (drawn by J. Jerebko),72,113
3,1:59.0,,J. Jerebko makes free throw 1 of 2,72,114
3,1:59.0,R. Arcidiacono enters the game for K. Dunn,,72,114
3,1:59.0,W. Selden enters the game for C. Hutchison,,72,114
3,1:59.0,,J. Jerebko misses free throw 2 of 2,72,114
3,1:58.0,Defensive rebound by B. Portis,,72,114
3,1:52.0,Turnover by S. Harrison (bad pass),,72,114
3,1:52.0,,A. McKinnie enters the game for K. Durant,72,114
3,1:29.0,,Q. Cook makes 2-pt jump shot from 18 ft,72,116
3,1:09.0,Shooting foul by A. McKinnie (drawn by S. Harrison),,72,116
3,1:09.0,S. Harrison makes free throw 1 of 2,,73,116
3,1:09.0,S. Harrison makes free throw 2 of 2,,74,116
3,0:52.0,,A. McKinnie misses 2-pt layup from 3 ft (block by S. Harrison),74,116
3,0:51.0,,Offensive rebound by A. McKinnie,74,116
3,0:45.0,,Q. Cook misses 2-pt jump shot from 22 ft,74,116
3,0:44.0,Defensive rebound by B. Portis,,74,116
3,0:32.0,S. Harrison misses 2-pt jump shot from 11 ft,,74,116
3,0:31.0,,Defensive rebound by A. McKinnie,74,116
3,0:12.0,,A. Iguodala misses 3-pt jump shot from 27 ft,74,116
3,0:11.0,Defensive rebound by R. Lopez,,74,116
3,0:05.0,Personal foul by Q. Cook (drawn by B. Portis),,74,116
3,0:05.0,B. Portis makes free throw 1 of 2,,75,116
3,0:05.0,B. Portis makes free throw 2 of 2,,76,116
3,0:00.0,,A. McKinnie misses 3-pt jump shot from 23 ft,76,116
3,0:00.0,,Offensive rebound by Team,76,116
4,11:43.0,,M. Derrickson makes 3-pt jump shot from 23 ft (assist by Q. Cook),76,119
4,11:36.0,Personal foul by S. Livingston (drawn by S. Harrison),,76,119
4,11:28.0,R. Lopez makes 2-pt layup from 2 ft (assist by R. Arcidiacono),,78,119
4,11:09.0,,M. Derrickson misses 3-pt jump shot from 29 ft,78,119
4,11:07.0,Defensive rebound by C. Hutchison,,78,119
4,11:00.0,Personal foul by M. Derrickson (drawn by R. Lopez),,78,119
4,10:46.0,R. Lopez makes 3-pt jump shot from 28 ft (assist by R. Arcidiacono),,81,119
4,10:33.0,,Offensive foul by Q. Cook (drawn by R. Arcidiacono),81,119
4,10:33.0,,Turnover by Q. Cook (offensive foul),81,119
4,10:18.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,81,119
4,10:16.0,,Defensive rebound by J. Jerebko,81,119
4,10:03.0,,M. Derrickson misses 3-pt jump shot from 26 ft,81,119
4,10:01.0,Defensive rebound by Team,,81,119
4,10:01.0,,Loose ball foul by A. McKinnie (drawn by S. Harrison),81,119
4,9:44.0,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by W. Selden),,84,119
4,9:24.0,,Q. Cook makes 2-pt jump shot from 19 ft,84,121
4,9:10.0,Shooting foul by M. Derrickson (drawn by R. Arcidiacono),,84,121
4,9:10.0,R. Arcidiacono makes free throw 1 of 2,,85,121
4,9:10.0,R. Arcidiacono makes free throw 2 of 2,,86,121
4,9:01.0,,Turnover by S. Livingston (bad pass; steal by S. Harrison),86,121
4,8:51.0,C. Hutchison misses 2-pt hook shot from 10 ft,,86,121
4,8:50.0,,Defensive rebound by J. Jerebko,86,121
4,8:46.0,,Q. Cook makes 2-pt layup from 2 ft (assist by J. Jerebko),86,123
4,8:46.0,Chicago full timeout,,86,123
4,8:46.0,A. Blakeney enters the game for S. Harrison,,86,123
4,8:46.0,C. Felício enters the game for R. Lopez,,86,123
4,8:46.0,,J. Bell enters the game for S. Livingston,86,123
4,8:26.0,C. Felício misses 2-pt hook shot from 6 ft,,86,123
4,8:25.0,,Defensive rebound by A. McKinnie,86,123
4,8:12.0,,M. Derrickson misses 3-pt jump shot from 29 ft,86,123
4,8:10.0,,Offensive rebound by Q. Cook,86,123
4,8:01.0,,Q. Cook makes 2-pt layup from 3 ft (assist by J. Bell),86,125
4,7:59.0,,Violation by Team (delay of game),86,125
4,7:44.0,W. Selden makes 2-pt jump shot from 8 ft (assist by R. Arcidiacono),,88,125
4,7:44.0,Shooting foul by A. McKinnie (drawn by W. Selden),,88,125
4,7:44.0,W. Selden makes free throw 1 of 1,,89,125
4,7:24.0,,J. Bell misses 2-pt jump shot from 18 ft,89,125
4,7:23.0,Defensive rebound by C. Hutchison,,89,125
4,7:17.0,W. Selden misses 2-pt layup from 4 ft (block by M. Derrickson),,89,125
4,7:16.0,Offensive rebound by Team,,89,125
4,7:15.0,Shooting foul by M. Derrickson (drawn by A. Blakeney),,89,125
4,7:15.0,A. Blakeney makes free throw 1 of 2,,90,125
4,7:15.0,A. Blakeney makes free throw 2 of 2,,91,125
4,6:51.0,,M. Derrickson makes 2-pt jump shot from 21 ft (assist by Q. Cook),91,127
4,6:30.0,A. Blakeney makes 2-pt jump shot from 13 ft,,93,127
4,6:17.0,,M. Derrickson misses 2-pt jump shot from 22 ft,93,127
4,6:16.0,,Offensive rebound by A. McKinnie,93,127
4,6:09.0,,Shooting foul by C. Felício (drawn by J. Jerebko),93,127
4,6:09.0,,J. Jerebko makes free throw 1 of 2,93,128
4,6:09.0,,J. Jerebko makes free throw 2 of 2,93,129
4,5:55.0,A. Blakeney makes 2-pt jump shot from 9 ft,,95,129
4,5:37.0,,Q. Cook makes 2-pt jump shot from 5 ft,95,131
